scalings,0,500,1000,1500
Sokoban/0140-sokoban-60-1.asp,900,900,900,900
Sokoban/0162-sokoban-31-1.asp,16.936,14.1,13.305,11.52
Sokoban/0207-sokoban-31-1.asp,39.143,41.37,38.521,41.565
Sokoban/0272-sokoban-135-1.asp,39.398,16.261,24.825,15.012
Sokoban/0395-sokoban-45-1.asp,900,900,900,900
Sokoban/0418-sokoban-36-1.asp,730.761,389.766,330.047,329.224
Sokoban/0428-sokoban-120-1.asp,41.379,95.127,5.284,44.571
Sokoban/0474-sokoban-56-1.asp,79.894,10.537,2.925,5.099
Sokoban/0516-sokoban-200-1.asp,32.393,536.349,55.093,612.474
Sokoban/0685-sokoban-105-1.asp,900,900,900,900
Sokoban/0760-sokoban-48-1.asp,900,569.849,267.607,398.601
Sokoban/0791-sokoban-270-1.asp,900,900,900,900
Sokoban/0809-sokoban-280-1.asp,900,900,900,900
Sokoban/0950-sokoban-87-1.asp,900,900,900,900
Sokoban/0984-sokoban-165-1.asp,900,900,900,900
Visit-all/0009-visitall-36-1.asp,38.733,134.388,57.931,70.124
Visit-all/0012-visitall-36-1.asp,49.364,86.142,79.92,75.26
Visit-all/0019-visitall-67-1.asp,900,900,900,900
Visit-all/0020-visitall-67-1.asp,900,900,900,900
Visit-all/0029-visitall-39-1.asp,43.414,108.585,134.308,58.334
Visit-all/0030-visitall-39-1.asp,49.618,160.98,206.14,121.668
Visit-all/0031-visitall-39-1.asp,126.578,82.616,89.135,69.145
Visit-all/0037-visitall-73-1.asp,900,900,900,900
Visit-all/0040-visitall-73-1.asp,900,900,900,900
Visit-all/0057-visitall-79-1.asp,900,900,900,900
Visit-all/0059-visitall-79-1.asp,900,900,900,900
Visit-all/0060-visitall-79-1.asp,900,900,900,900
Visit-all/0070-visitall-49-1.asp,28.001,39.131,135.704,16.33
Visit-all/0071-visitall-49-1.asp,29.924,7.221,62.899,55.704
Visit-all/0077-visitall-91-1.asp,900,900,900,900
Visit-all/0078-visitall-91-1.asp,900,900,900,900
Visit-all/0080-visitall-91-1.asp,900,900,900,900
Visit-all/0089-visitall-66-1.asp,22.243,4.773,30.466,12.637
Visit-all/0099-visitall-122-1.asp,900,900,900,900
Visit-all/0100-visitall-122-1.asp,900,900,900,900
learning-1-sort-size
HanoiTower/0004-hanoi_tower-60-0.asp,33.365,63.446,52.266,43.354
HanoiTower/0005-hanoi_tower-60-0.asp,303.019,223.626,227.554,95.151
