scalings,0,500,1000,1500
Sokoban/0128-sokoban-131-1.asp,1817138,620965,1135259,1203323
Sokoban/0140-sokoban-60-1.asp,14445733,14890343,13447529,5525390
Sokoban/0162-sokoban-31-1.asp,177925,138558,113320,91881
Sokoban/0207-sokoban-31-1.asp,355874,334601,296825,298406
Sokoban/0272-sokoban-135-1.asp,3375089,1219359,1272702,756065
Sokoban/0395-sokoban-45-1.asp,4626089,4875211,4614770,4598501
Sokoban/0418-sokoban-36-1.asp,3664541,2461872,2210552,2166359
Sokoban/0428-sokoban-120-1.asp,2307354,4273324,218513,1820078
Sokoban/0474-sokoban-56-1.asp,950722,173398,31107,44369
Sokoban/0516-sokoban-200-1.asp,2646253,12813564,2262501,12456068
Sokoban/0685-sokoban-105-1.asp,22129296,20248151,19314234,6335363
Sokoban/0760-sokoban-48-1.asp,4636302,3392277,1812676,2354598
Sokoban/0791-sokoban-270-1.asp,51620947,45472795,41026977,38303410
Sokoban/0809-sokoban-280-1.asp,40269676,39959946,40056792,34558906
Sokoban/0950-sokoban-87-1.asp,24011459,23215006,23891220,19231223
Sokoban/0984-sokoban-165-1.asp,32862533,32427439,34631478,29448374
Visit-all/0009-visitall-36-1.asp,334042,852105,502990,514531
Visit-all/0012-visitall-36-1.asp,436750,572784,549981,509586
Visit-all/0019-visitall-67-1.asp,3715015,3538911,3325249,3656950
Visit-all/0020-visitall-67-1.asp,3543066,62814650,3886742,3635156
Visit-all/0029-visitall-39-1.asp,390425,746387,823722,504844
Visit-all/0030-visitall-39-1.asp,411851,913229,1100502,799966
Visit-all/0031-visitall-39-1.asp,810638,625149,657931,553114
Visit-all/0037-visitall-73-1.asp,4321214,3849885,3684459,3815949
Visit-all/0040-visitall-73-1.asp,3594149,3961702,24088030,3955541
Visit-all/0057-visitall-79-1.asp,4045243,3724100,3789637,3724401
Visit-all/0059-visitall-79-1.asp,3743351,3681462,3862164,3864968
Visit-all/0060-visitall-79-1.asp,3709184,3770857,7398149,3755830
Visit-all/0070-visitall-49-1.asp,333138,457087,994322,213372
Visit-all/0071-visitall-49-1.asp,356990,131538,606167,497762
Visit-all/0077-visitall-91-1.asp,4629731,4359369,51993531,3885727
Visit-all/0078-visitall-91-1.asp,5078931,4222187,29801306,4326013
Visit-all/0080-visitall-91-1.asp,4009066,4029299,3879673,3807170
Visit-all/0089-visitall-66-1.asp,348760,90704,391185,170895
Visit-all/0099-visitall-122-1.asp,4402223,4423026,4322561,4254399
Visit-all/0100-visitall-122-1.asp,4694634,4438146,10596696,4311772
learning-1-sort-size
HanoiTower/0004-hanoi_tower-60-0.asp,435210,749009,648862,477809
HanoiTower/0005-hanoi_tower-60-0.asp,2712871,2115230,2796720,1113987
HanoiTower/0007-hanoi_tower-60-0.asp,3210247,4403244,3726995,3196152
HanoiTower/0008-hanoi_tower-60-0.asp,4390489,7765236,6543216,6559801
HanoiTower/0013-hanoi_tower-32-0.asp,275746,679452,384990,251986
HanoiTower/0021-hanoi_tower-40-0.asp,801038,450956,553423,539267
HanoiTower/0022-hanoi_tower-60-0.asp,41943,75206,79201,26902
HanoiTower/0023-hanoi_tower-60-0.asp,31451,152704,22898,34961
HanoiTower/0025-hanoi_tower-60-0.asp,113315,106445,52105,98458
HanoiTower/0032-hanoi_tower-60-0.asp,66224,62073,81589,67448
HanoiTower/0036-hanoi_tower-80-0.asp,111212,62491,53451,44536
HanoiTower/0039-hanoi_tower-80-0.asp,375303,191399,81558,105946
HanoiTower/0040-hanoi_tower-80-0.asp,287814,223751,149728,246596
HanoiTower/0046-hanoi_tower-100-0.asp,151528,193290,148669,177641
HanoiTower/0047-hanoi_tower-120-0.asp,40485,51200,63138,32283
HanoiTower/0048-hanoi_tower-120-0.asp,92980,127672,122341,164518
HanoiTower/0050-hanoi_tower-120-0.asp,314254,229184,105926,162059
HanoiTower/0056-hanoi_tower-120-0.asp,2854569,2174845,2237269,1836927
HanoiTower/0059-hanoi_tower-120-0.asp,11694178,11854184,4377953,4827258
HanoiTower/0060-hanoi_tower-120-0.asp,6841031,6468475,6299086,4563668
Labyrinth/0025-labyrinth-14-0.asp,6228,22383,22383,22383
Labyrinth/0045-labyrinth-11-0.asp,11880,193616,193616,193616
Labyrinth/0060-labyrinth-13-0.asp,6332,20927,20927,20927
Labyrinth/0075-labyrinth-13-0.asp,186819,186819,186819,186819
Labyrinth/0082-labyrinth-14-0.asp,751658,1448875,1448875,1448875
Labyrinth/0083-labyrinth-23-0.asp,58665436,61030008,62247730,61524937
Labyrinth/0094-labyrinth-17-0.asp,2013422,2004062,2004062,2004062
Labyrinth/0117-labyrinth-23-0.asp,48928257,54587193,54631677,54682509
Labyrinth/0130-labyrinth-14-0.asp,563327,532991,532991,532991
Labyrinth/0151-labyrinth-19-0.asp,9382994,4913836,4913836,4913836
Labyrinth/0157-labyrinth-13-0.asp,1639136,649241,649241,649241
Labyrinth/0192-labyrinth-18-0.asp,8212844,8371537,8371537,8371537
Labyrinth/0204-labyrinth-20-0.asp,10411263,40324510,39820311,40606957
Labyrinth/0205-labyrinth-20-0.asp,20133079,13197639,13197639,13197639
Labyrinth/0207-labyrinth-20-0.asp,18670302,2944964,2944964,2944964
Labyrinth/0209-labyrinth-20-0.asp,11478071,24404399,24404399,24404399
Labyrinth/0210-labyrinth-20-0.asp,20687024,6061476,6061476,6061476
Labyrinth/0215-labyrinth-21-0.asp,3725136,15192146,15192146,15192146
Labyrinth/0238-labyrinth-22-0.asp,46549946,50346874,50325799,50493002
Labyrinth/0241-labyrinth-22-0.asp,26160613,14976665,14976665,14976665
Nomistery/0006-nomystery-55-0.asp,10028584,4691176,1927501,2353331
Nomistery/0007-nomystery-57-0.asp,1142184,2198201,1205197,4320528
Nomistery/0009-nomystery-63-0.asp,669330,281895,20145,12348
Nomistery/0012-nomystery-84-0.asp,17153706,17563481,14191096,11488501
Nomistery/0014-nomystery-73-0.asp,17875408,16431718,6644342,10337583
Nomistery/0024-nomystery-86-0.asp,17044306,15994673,14847082,14111625
Nomistery/0025-nomystery-85-0.asp,17188466,23875031,17778230,15386782
Nomistery/0027-nomystery-172-0.asp,11743382,15689449,15284531,11334457
Nomistery/0028-nomystery-167-0.asp,8173904,12692441,14002236,5833609
Nomistery/0029-nomystery-123-0.asp,15300623,17369765,8757333,11467263
Nomistery/0030-nomystery-117-0.asp,18143264,17636991,14036273,16809750
Nomistery/0031-nomystery-52-0.asp,864438,14798,346902,15552
Nomistery/0033-nomystery-32-0.asp,289039,791554,386597,175466
Nomistery/0034-nomystery-64-0.asp,1347602,2257884,954397,710859
Nomistery/0037-nomystery-36-0.asp,16071433,14008763,12232135,8784983
Nomistery/0038-nomystery-63-0.asp,21377260,15413561,15350369,14064230
Nomistery/0039-nomystery-42-0.asp,722276,3540761,2396960,2549631
Nomistery/0041-nomystery-88-0.asp,15642326,14176902,17777059,12842262
Nomistery/0042-nomystery-56-0.asp,17709151,19370924,12734014,4288580
Nomistery/0045-nomystery-44-0.asp,759262,103169,401472,125197
RicochetRobots/007-ricochetrobot-17-0.asp,1509553,2351061,1278663,57285
RicochetRobots/018-ricochetrobot-14-0.asp,211641,163438,44898,43546
RicochetRobots/025-ricochetrobot-14-0.asp,125289,282454,98713,93347
RicochetRobots/030-ricochetrobot-16-0.asp,2075076,2244927,1862779,1246147
RicochetRobots/038-ricochetrobot-13-0.asp,49702,21056,24265,13701
RicochetRobots/040-ricochetrobot-14-0.asp,388302,73789,358673,175426
RicochetRobots/046-ricochetrobot-13-0.asp,80683,67359,84722,69724
RicochetRobots/059-ricochetrobot-15-0.asp,95166,376760,131547,91180
RicochetRobots/060-ricochetrobot-14-0.asp,234134,148964,138553,160361
RicochetRobots/061-ricochetrobot-14-0.asp,126254,122727,141214,33461
