,empty-1/base,,,,,,empty-1/max-1000-step-1000-size-50-deg-10,,,,,,empty-1/max-1500-step-1500-size-50-deg-10,,,,,,empty-1/max-500-step-500-size-50-deg-10,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-3,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-5,,,,,,min,,,,,,median,,,,,,max,,,,,
,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded
pddl-instances/ipc-1998/domains/gripper-round-1-strips/instance-19.lp,900,900,8898140,6435721,109,0,900,900,9085395,6577777,115,0,900,900,8759942,6290271,119,0,900,900,8945868,6457165,106,0,900,900,9052294,6545158,102,0,900,900,11671000,7112755,118,0,900,900,8759942,6290271,102,0,900,900,8999081,6501161.5,112,0,900,900,11671000,7112755,119,0
pddl-instances/ipc-1998/domains/gripper-round-1-strips/instance-2.lp,1.05,0.662,3162,2283,31,0,1.37,0.825,3984,2906,44,423,1.62,0.902,4660,3355,56,646,0.99,0.685,2846,2160,35,221,1.36,0.754,3094,2363,28,68,1.19,0.758,3370,2494,35,286,0.99,0.662,2846,2160,28,0,1.275,0.756,3266,2428.5,35,253.5,1.62,0.902,4660,3355,56,646
pddl-instances/ipc-1998/domains/gripper-round-1-strips/instance-20.lp,900,900,8109869,5866564,113,0,900,900,9248292,6576579,112,0,900,900,8590401,6136287,147,0,900,900,10422211,6231740,112,0,900,900,8650043,6271565,103,0,900,900,9475612,6317021,134,0,900,900,8109869,5866564,103,0,900,900,8949167.5,6251652.5,112.5,0,900,900,10422211,6576579,147,0
pddl-instances/ipc-1998/domains/gripper-round-1-strips/instance-3.lp,1.45,1.054,11809,8294,33,0,1.66,1.127,7333,5286,45,415,2.17,1.333,12161,8510,63,665,1.09,0.786,2665,1950,35,215,1.53,1.037,8251,6062,29,66,1.31,0.824,2597,1820,39,341,1.09,0.786,2597,1820,29,0,1.49,1.0455,7792,5674,37,278,2.17,1.333,12161,8510,63,665
pddl-instances/ipc-1998/domains/gripper-round-1-strips/instance-4.lp,17.32,16.825,328264,245329,40,0,10.8,9.874,168096,126894,65,921,21.42,20.35,308369,228344,68,1172,15.12,14.549,254065,185340,48,500,38.39,37.8,626840,490025,38,134,26.84,25.932,431009,321219,48,592,10.8,9.874,168096,126894,38,0,19.37,18.5875,318316.5,236836.5,48,546,38.39,37.8,626840,490025,68,1172
pddl-instances/ipc-1998/domains/gripper-round-1-strips/instance-5.lp,900,900,13423784,10171067,66,0,789.42,788.282,12032497,8934000,83,1000,441.53,439.656,6411937,4677162,96,1500,531.3,530.626,8200128,6057196,65,500,900,900,12737290,9608026,60,0,788.53,787.59,12270178,9014254,67,666,441.53,439.656,6411937,4677162,60,0,788.975,787.936,12151337.5,8974127,66.5,583,900,900,13423784,10171067,96,1500
pddl-instances/ipc-1998/domains/gripper-round-1-strips/instance-6.lp,900,900,14189907,10434240,66,0,900,900,12072303,8969098,85,0,900,900,11682687,8516948,107,0,900,900,12632305,9377970,73,0,900,900,12954119,9700400,65,0,900,900,12831687,9473091,74,0,900,900,11682687,8516948,65,0,900,900,12731996,9425530.5,73.5,0,900,900,14189907,10434240,107,0
pddl-instances/ipc-1998/domains/gripper-round-1-strips/instance-7.lp,900,900,13483413,10003907,67,0,900,900,11370310,8474621,75,0,900,900,10842193,8048808,105,0,900,900,12157297,8934393,81,0,900,900,11645433,8831533,63,0,900,900,12154182,8984411,71,0,900,900,10842193,8048808,63,0,900,900,11899807.5,8882963,73,0,900,900,13483413,10003907,105,0
pddl-instances/ipc-1998/domains/gripper-round-1-strips/instance-8.lp,900,900,11785945,8788139,69,0,900,900,11631663,8508840,73,0,900,900,11007261,7990911,107,0,900,900,12030389,8885143,77,0,900,900,12337518,9251058,65,0,900,900,12273831,8900162,80,0,900,900,11007261,7990911,65,0,900,900,11908167,8836641,75,0,900,900,12337518,9251058,107,0
pddl-instances/ipc-1998/domains/gripper-round-1-strips/instance-9.lp,900,900,12114064,8949272,71,0,900,900,11190086,8185064,95,0,900,900,10125578,7558524,88,0,900,900,10850927,8149058,72,0,900,900,10749650,8227988,67,0,900,900,11268398,8266075,80,0,900,900,10125578,7558524,67,0,900,900,11020506.5,8206526,76,0,900,900,12114064,8949272,95,0
