,empty-1/base,,,,,,empty-1/max-1000-step-1000-size-50-deg-10,,,,,,empty-1/max-1500-step-1500-size-50-deg-10,,,,,,empty-1/max-500-step-500-size-50-deg-10,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-3,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-5,,,,,,min,,,,,,median,,,,,,max,,,,,
,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded
pddl-instances/ipc-2000/domains/freecell-strips-typed/instance-50.lp,900,900,0,0,8046,0,900,900,0,0,8005,0,900,900,0,0,8046,0,900,900,0,0,8044,0,900,900,0,0,8048,0,900,900,0,0,8046,0,900,900,0,0,8005,0,900,900,0,0,8046,0,900,900,0,0,8048,0
pddl-instances/ipc-2000/domains/freecell-strips-typed/instance-51.lp,900,900,0,0,8049,0,900,900,0,0,8051,0,900,900,0,0,8048,0,900,900,0,0,8043,0,900,900,0,0,8049,0,900,900,0,0,8050,0,900,900,0,0,8043,0,900,900,0,0,8049,0,900,900,0,0,8051,0
pddl-instances/ipc-2000/domains/freecell-strips-typed/instance-52.lp,900,900,0,0,8049,0,900,900,0,0,8044,0,900,900,0,0,8048,0,900,900,0,0,8006,0,900,900,0,0,8049,0,900,900,0,0,8048,0,900,900,0,0,8006,0,900,900,0,0,8048,0,900,900,0,0,8049,0
pddl-instances/ipc-2000/domains/freecell-strips-typed/instance-53.lp,900,900,0,0,8048,0,900,900,0,0,8050,0,900,900,0,0,8050,0,900,900,0,0,8049,0,900,900,0,0,8049,0,900,900,0,0,8049,0,900,900,0,0,8048,0,900,900,0,0,8049,0,900,900,0,0,8050,0
pddl-instances/ipc-2000/domains/freecell-strips-typed/instance-54.lp,900,900,0,0,8050,0,900,900,0,0,8040,0,900,900,0,0,8051,0,900,900,0,0,8049,0,900,900,0,0,8050,0,900,900,0,0,8050,0,900,900,0,0,8040,0,900,900,0,0,8050,0,900,900,0,0,8051,0
pddl-instances/ipc-2000/domains/freecell-strips-typed/instance-55.lp,900,900,0,0,8048,0,900,900,0,0,8049,0,900,900,0,0,8050,0,900,900,0,0,8049,0,900,900,0,0,8051,0,900,900,0,0,8051,0,900,900,0,0,8048,0,900,900,0,0,8049.5,0,900,900,0,0,8051,0
pddl-instances/ipc-2000/domains/freecell-strips-typed/instance-56.lp,900,900,0,0,8053,0,900,900,0,0,8052,0,900,900,0,0,8024,0,900,900,0,0,8053,0,900,900,0,0,8052,0,900,900,0,0,8053,0,900,900,0,0,8024,0,900,900,0,0,8052.5,0,900,900,0,0,8053,0
pddl-instances/ipc-2000/domains/freecell-strips-typed/instance-57.lp,900,900,0,0,8052,0,900,900,0,0,8052,0,900,900,0,0,8052,0,900,900,0,0,8054,0,900,900,0,0,8052,0,900,900,0,0,8053,0,900,900,0,0,8052,0,900,900,0,0,8052,0,900,900,0,0,8054,0
pddl-instances/ipc-2000/domains/freecell-strips-typed/instance-58.lp,900,900,0,0,8007,0,900,900,0,0,8053,0,900,900,0,0,8053,0,900,900,0,0,8053,0,900,900,0,0,8024,0,900,900,0,0,8054,0,900,900,0,0,8007,0,900,900,0,0,8053,0,900,900,0,0,8054,0
pddl-instances/ipc-2000/domains/freecell-strips-typed/instance-59.lp,900,900,0,0,8052,0,900,900,0,0,8053,0,900,900,0,0,8053,0,900,900,0,0,8053,0,900,900,0,0,8053,0,900,900,0,0,8002,0,900,900,0,0,8002,0,900,900,0,0,8053,0,900,900,0,0,8053,0
pddl-instances/ipc-2000/domains/freecell-strips-typed/instance-6.lp,900,900,0,0,8041,0,900,900,0,0,8080,0,900,900,0,0,8008,0,900,900,0,0,8131,0,900,900,0,0,8024,0,900,900,0,0,8058,0,900,900,0,0,8008,0,900,900,0,0,8049.5,0,900,900,0,0,8131,0
pddl-instances/ipc-2000/domains/freecell-strips-typed/instance-60.lp,900,900,0,0,8011,0,900,900,0,0,8017,0,900,900,0,0,8011,0,900,900,0,0,8053,0,900,900,0,0,8052,0,900,900,0,0,8053,0,900,900,0,0,8011,0,900,900,0,0,8034.5,0,900,900,0,0,8053,0
pddl-instances/ipc-2000/domains/freecell-strips-typed/instance-7.lp,900,900,0,0,8096,0,900,900,0,0,8095,0,900,900,0,0,8096,0,900,900,0,0,8052,0,900,900,0,0,8005,0,900,900,0,0,8096,0,900,900,0,0,8005,0,900,900,0,0,8095.5,0,900,900,0,0,8096,0
pddl-instances/ipc-2000/domains/freecell-strips-typed/instance-8.lp,900,900,0,0,8037,0,900,900,0,0,8017,0,900,900,0,0,8095,0,900,900,0,0,8094,0,900,900,0,0,8093,0,900,900,0,0,8025,0,900,900,0,0,8017,0,900,900,0,0,8065,0,900,900,0,0,8095,0
pddl-instances/ipc-2000/domains/freecell-strips-typed/instance-9.lp,900,900,0,0,8071,0,900,900,0,0,8089,0,900,900,0,0,8006,0,900,900,0,0,8133,0,900,900,0,0,8007,0,900,900,0,0,8075,0,900,900,0,0,8006,0,900,900,0,0,8073,0,900,900,0,0,8133,0
pddl-instances/ipc-2002/domains/depots-strips-automatic/instance-1.lp,0.9,0.653,19,7,25,0,0.64,0.515,19,7,26,0,0.66,0.55,19,7,26,0,0.78,0.648,19,7,26,0,0.68,0.582,19,7,25,0,0.72,0.61,19,7,25,0,0.64,0.515,19,7,25,0,0.7,0.596,19,7,25.5,0,0.9,0.653,19,7,26,0
pddl-instances/ipc-2002/domains/depots-strips-automatic/instance-10.lp,9.52,9.22,1908,533,199,0,8.61,8.318,1908,533,202,0,8.84,8.537,1908,533,201,0,8.8,8.49,1908,533,201,0,9.29,8.974,1908,533,201,0,8.7,8.396,1908,533,199,0,8.61,8.318,1908,533,199,0,8.82,8.5135,1908,533,201,0,9.52,9.22,1908,533,202,0
pddl-instances/ipc-2002/domains/depots-strips-automatic/instance-11.lp,768.46,767.295,2035746,1088880,772,0,176.66,175.368,570413,247049,724,270,168.65,167.305,600237,242954,733,393,132.13,130.888,1355475,189261,733,125,156.39,155.119,526716,218376,720,133,348.69,347.321,1035663,497469,751,221,132.13,130.888,526716,189261,720,0,172.655,171.3365,817950,245001.5,733,177,768.46,767.295,2035746,1088880,772,393
pddl-instances/ipc-2002/domains/depots-strips-automatic/instance-12.lp,900,900,16384182,794450,2259,0,900,900,16281320,797029,2271,0,900,900,16372347,803424,2271,0,900,900,16463100,809462,2274,0,900,900,14522356,804102,2252,0,900,900,16693116,844526,2268,0,900,900,14522356,794450,2252,0,900,900,16378264.5,803763,2269.5,0,900,900,16693116,844526,2274,0
pddl-instances/ipc-2002/domains/depots-strips-automatic/instance-13.lp,12.04,11.648,570,77,265,0,11.75,11.374,570,77,265,0,11.94,11.583,570,77,266,0,12.16,11.744,570,77,264,0,11.76,11.386,570,77,264,0,11.77,11.395,570,77,259,0,11.75,11.374,570,77,259,0,11.855,11.489,570,77,264.5,0,12.16,11.744,570,77,266,0
pddl-instances/ipc-2002/domains/depots-strips-automatic/instance-14.lp,40.49,39.179,566,80,847,0,41.24,39.903,4502,490,846,8,41.03,39.717,4502,490,845,8,40.47,39.237,4502,490,847,8,41.59,40.243,5906,1151,847,7,41.26,40.028,4502,490,847,8,40.47,39.179,566,80,845,0,41.135,39.81,4502,490,847,8,41.59,40.243,5906,1151,847,8
pddl-instances/ipc-2002/domains/depots-strips-automatic/instance-15.lp,900,900,6236382,623218,2592,0,900,900,7215291,600561,2595,0,900,900,7251930,605254,2593,0,900,900,7267885,606773,2597,0,900,900,8012474,618763,2609,0,900,900,7140018,589112,2618,0,900,900,6236382,589112,2592,0,900,900,7233610.5,606013.5,2596,0,900,900,8012474,623218,2618,0
pddl-instances/ipc-2002/domains/depots-strips-automatic/instance-16.lp,21.82,21.145,490,123,462,0,22.63,21.998,490,123,461,0,22.28,21.683,490,123,464,0,21.97,21.31,490,123,458,0,21.75,21.121,490,123,459,0,22.06,21.435,490,123,456,0,21.75,21.121,490,123,456,0,22.015,21.3725,490,123,460,0,22.63,21.998,490,123,464,0
pddl-instances/ipc-2002/domains/depots-strips-automatic/instance-17.lp,73.08,71.161,5277,1112,1417,0,72.94,71.174,5277,1112,1418,0,71.25,69.451,5277,1112,1417,0,72.02,70.203,5277,1112,1418,0,72.35,70.423,5277,1112,1416,0,70.46,68.859,5277,1112,1418,0,70.46,68.859,5277,1112,1416,0,72.185,70.313,5277,1112,1417.5,0,73.08,71.174,5277,1112,1418,0
pddl-instances/ipc-2002/domains/depots-strips-automatic/instance-18.lp,222.83,216.628,117898,8862,4281,0,219.22,212.609,245999,6028,4284,11,218.12,212.098,245999,6028,4278,11,216.23,210.197,245999,6028,4281,11,222,216.137,244165,8248,4279,5,215.99,210.014,197614,5606,4277,9,215.99,210.014,117898,5606,4277,0,218.67,212.3535,245082,6028,4280,10,222.83,216.628,245999,8862,4284,11
pddl-instances/ipc-2002/domains/depots-strips-automatic/instance-19.lp,44.93,43.726,912,149,914,0,44.77,43.621,912,149,915,0,45.3,44.128,912,149,912,0,46.57,45.348,912,149,914,0,46.65,45.414,912,149,918,0,47,45.822,912,149,914,0,44.77,43.621,912,149,912,0,45.935,44.738,912,149,914,0,47,45.822,912,149,918,0
pddl-instances/ipc-2002/domains/depots-strips-automatic/instance-2.lp,1.53,1.373,129,24,39,0,1.22,1.094,172,28,39,1,1.36,1.116,172,28,40,1,1.34,1.188,172,28,41,1,1.23,1.074,172,28,41,1,1.42,1.273,172,28,39,1,1.22,1.074,129,24,39,0,1.35,1.152,172,28,39.5,1,1.53,1.373,172,28,41,1
pddl-instances/ipc-2002/domains/depots-strips-automatic/instance-20.lp,331.42,325.39,2641011,114223,4423,0,577.47,571.589,7017421,384660,4490,5,593.98,588.184,7017421,384660,4485,5,577.62,571.223,7017421,384660,4485,5,585.78,580.353,7017421,384660,4485,5,589.3,583.12,7017421,384660,4483,5,331.42,325.39,2641011,114223,4423,0,581.7,575.971,7017421,384660,4485,5,593.98,588.184,7017421,384660,4490,5
pddl-instances/ipc-2002/domains/depots-strips-automatic/instance-21.lp,425.25,414.51,14036,421,7969,0,422.3,411.797,10418,534,7968,1,428.84,418.696,10418,534,7969,1,456.02,445.206,10418,534,7966,1,422.8,412.202,10418,534,7968,1,425.28,414.477,10418,534,7967,1,422.3,411.797,10418,421,7966,0,425.265,414.4935,10418,534,7968,1,456.02,445.206,14036,534,7969,1
pddl-instances/ipc-2002/domains/depots-strips-automatic/instance-22.lp,900,900,0,0,8143,0,900,900,0,0,8146,0,900,900,0,0,8156,0,900,900,0,0,8169,0,900,900,0,0,8125,0,900,900,0,0,8069,0,900,900,0,0,8069,0,900,900,0,0,8144.5,0,900,900,0,0,8169,0
pddl-instances/ipc-2002/domains/depots-strips-automatic/instance-3.lp,2.8,2.596,1569,506,73,0,2.99,2.76,2631,967,73,20,2.89,2.582,2631,967,73,20,2.75,2.541,2631,967,73,20,2.96,2.763,2080,766,73,14,2.76,2.539,2631,967,73,20,2.75,2.539,1569,506,73,0,2.845,2.589,2631,967,73,20,2.99,2.763,2631,967,73,20
pddl-instances/ipc-2002/domains/depots-strips-automatic/instance-4.lp,5.62,5.362,7324,2770,125,0,5.27,5.018,1924,539,124,6,4.97,4.651,1924,539,124,6,4.93,4.654,1924,539,125,6,5.19,4.931,3441,1057,124,4,5.1,4.832,1924,539,125,6,4.93,4.651,1924,539,124,0,5.145,4.8815,1924,539,124.5,6,5.62,5.362,7324,2770,125,6
pddl-instances/ipc-2002/domains/depots-strips-automatic/instance-5.lp,11.67,11.241,25350,8471,221,0,24.02,23.577,75886,33808,239,17,23.99,23.534,75886,33808,239,17,24.45,23.935,75886,33808,243,17,10.93,10.461,18934,5916,220,14,10.9,10.457,18934,5916,220,14,10.9,10.457,18934,5916,220,0,17.83,17.3875,50618,21139.5,230,15.5,24.45,23.935,75886,33808,243,17
pddl-instances/ipc-2002/domains/depots-strips-automatic/instance-6.lp,472.51,471.116,1650307,673547,773,0,314.22,312.727,907805,379615,758,282,321.42,319.802,928156,387401,767,399,394.52,393.112,1235158,517458,768,158,900,900,8889137,1107190,880,0,631.93,630.497,2183165,951455,771,221,314.22,312.727,907805,379615,758,0,433.515,432.114,1442732.5,595502.5,769.5,189.5,900,900,8889137,1107190,880,399
pddl-instances/ipc-2002/domains/depots-strips-automatic/instance-7.lp,3.32,3.13,332,66,85,0,3.3,3.116,332,66,85,0,3.47,3.116,332,66,87,0,3.26,3.074,332,66,86,0,3.36,3.172,332,66,86,0,3.17,2.988,332,66,87,0,3.17,2.988,332,66,85,0,3.31,3.116,332,66,86,0,3.47,3.172,332,66,87,0
pddl-instances/ipc-2002/domains/depots-strips-automatic/instance-8.lp,13.37,12.935,15325,6025,256,0,12.98,12.542,13130,5111,253,40,12.96,12.5,13130,5111,258,40,13.64,13.07,13130,5111,257,40,12.07,11.508,8758,3189,258,34,13.19,12.712,13130,5111,256,40,12.07,11.508,8758,3189,253,0,13.085,12.627,13130,5111,256.5,40,13.64,13.07,15325,6025,258,40
pddl-instances/ipc-2002/domains/depots-strips-automatic/instance-9.lp,900,900,3078733,1213942,854,0,839.84,838.145,4340610,1102307,883,382,844.12,842.4,2803759,1113691,854,529,576.24,574.749,1927377,738243,828,231,900,900,3099366,1239469,841,0,536.28,534.784,1857371,701507,825,339,536.28,534.784,1857371,701507,825,0,841.98,840.2725,2941246,1107999,847.5,285,900,900,4340610,1239469,883,529
pddl-instances/ipc-2002/domains/driverlog-strips-automatic/instance-1.lp,0.75,0.627,36,1,25,0,0.66,0.526,36,1,24,0,0.63,0.505,36,1,25,0,0.75,0.623,36,1,25,0,0.68,0.538,36,1,24,0,0.77,0.538,36,1,24,0,0.63,0.505,36,1,24,0,0.715,0.538,36,1,24.5,0,0.77,0.627,36,1,25,0
pddl-instances/ipc-2002/domains/driverlog-strips-automatic/instance-10.lp,2.65,2.493,555,242,63,0,2.45,2.263,445,151,62,3,2.54,2.345,445,151,62,3,2.45,2.274,445,151,62,3,2.59,2.414,445,151,64,3,2.45,2.29,445,151,63,3,2.45,2.263,445,151,62,0,2.495,2.3175,445,151,62.5,3,2.65,2.493,555,242,64,3
pddl-instances/ipc-2002/domains/driverlog-strips-automatic/instance-11.lp,3.22,3.048,299,142,73,0,3.26,3.063,299,142,72,0,2.99,2.816,299,142,75,0,3.04,2.857,299,142,72,0,2.99,2.829,299,142,75,0,3.06,2.883,299,142,72,0,2.99,2.816,299,142,72,0,3.05,2.87,299,142,72.5,0,3.26,3.063,299,142,75,0
pddl-instances/ipc-2002/domains/driverlog-strips-automatic/instance-12.lp,10.08,9.506,21652,8646,180,0,10.01,9.338,17015,8010,189,375,9.64,8.886,14235,6748,197,487,9.53,8.979,15959,7478,185,217,9.97,9.391,20545,8650,181,163,9.9,9.277,17930,7975,185,312,9.53,8.886,14235,6748,180,0,9.935,9.3075,17472.5,7992.5,185,264.5,10.08,9.506,21652,8650,197,487
pddl-instances/ipc-2002/domains/driverlog-strips-automatic/instance-13.lp,10.92,10.43,3366,1171,222,0,10.42,9.917,2355,778,225,111,10.59,10.096,2355,778,226,111,11.18,10.638,2355,778,224,111,10.91,10.415,3120,1068,225,49,10.61,10.123,3680,1189,223,101,10.42,9.917,2355,778,222,0,10.76,10.269,2737.5,923,224.5,106,11.18,10.638,3680,1189,226,111
pddl-instances/ipc-2002/domains/driverlog-strips-automatic/instance-14.lp,10.97,10.405,4611,1364,228,0,11.07,10.348,1421,542,228,223,10.9,10.27,1421,542,231,223,10.85,10.216,1421,542,228,223,11.04,10.474,4747,1369,226,117,10.92,10.321,1416,542,234,205,10.85,10.216,1416,542,226,0,10.945,10.3345,1421,542,228,214,11.07,10.474,4747,1369,234,223
pddl-instances/ipc-2002/domains/driverlog-strips-automatic/instance-15.lp,41.05,39.621,19017,4749,768,0,40.14,38.671,8307,2031,770,328,39.72,38.187,8307,2031,769,328,39.54,38.305,5794,1488,769,250,40.96,39.436,13776,3706,766,179,40.33,38.871,8385,2289,769,290,39.54,38.187,5794,1488,766,0,40.235,38.771,8346,2160,769,270,41.05,39.621,19017,4749,770,328
pddl-instances/ipc-2002/domains/driverlog-strips-automatic/instance-16.lp,235.11,229.833,3147026,193962,2338,0,281.38,275.823,4077023,276117,2341,558,187.19,181.397,1740681,112038,2349,737,143.25,136.999,410344,33031,2334,358,193.97,188.6,2188506,130354,2335,300,219.03,213.244,2725110,163664,2346,436,143.25,136.999,410344,33031,2334,0,206.5,200.922,2456808,147009,2339.5,397,281.38,275.823,4077023,276117,2349,737
pddl-instances/ipc-2002/domains/driverlog-strips-automatic/instance-17.lp,228.49,223.389,2040013,119497,2927,0,216.65,211.707,1594413,94989,2937,428,185.4,180.002,870363,45483,2937,464,194.96,189.831,1050884,55375,2930,214,200.32,195.306,1138091,65388,2930,245,200.49,195.082,1079894,60141,2936,388,185.4,180.002,870363,45483,2927,0,200.405,195.194,1108992.5,62764.5,2933,316.5,228.49,223.389,2040013,119497,2937,464
pddl-instances/ipc-2002/domains/driverlog-strips-automatic/instance-18.lp,900,900,8558783,604151,5554,0,900,900,7897935,615241,5556,0,900,900,7822277,608177,5557,0,900,900,8332282,608933,5565,0,900,900,8218822,591216,5556,0,900,900,8298633,607135,5550,0,900,900,7822277,591216,5550,0,900,900,8258727.5,607656,5556,0,900,900,8558783,615241,5565,0
pddl-instances/ipc-2002/domains/driverlog-strips-automatic/instance-19.lp,900,900,786435,421040,6401,0,900,900,1268399,356193,6425,0,900,900,1284797,362309,6422,0,900,900,1285307,362626,6426,0,900,900,671943,416020,6399,0,900,900,1287040,363348,6426,0,900,900,671943,356193,6399,0,900,900,1276598,362987,6423.5,0,900,900,1287040,421040,6426,0
pddl-instances/ipc-2002/domains/driverlog-strips-automatic/instance-2.lp,0.77,0.642,344,49,26,0,0.83,0.701,344,49,27,0,0.7,0.578,344,49,26,0,0.7,0.573,344,49,26,0,0.72,0.589,344,49,26,0,0.69,0.565,344,49,26,0,0.69,0.565,344,49,26,0,0.71,0.5835,344,49,26,0,0.83,0.701,344,49,27,0
pddl-instances/ipc-2002/domains/driverlog-strips-automatic/instance-20.lp,900,900,0,0,8006,0,900,900,0,0,8003,0,900,900,0,0,8000,0,900,900,0,0,8004,0,900,900,0,0,8003,0,900,900,0,0,8005,0,900,900,0,0,8000,0,900,900,0,0,8003.5,0,900,900,0,0,8006,0
pddl-instances/ipc-2002/domains/driverlog-strips-automatic/instance-3.lp,0.77,0.645,42,6,26,0,0.76,0.617,41,4,27,1,0.81,0.564,41,4,26,1,0.71,0.574,41,4,26,1,0.72,0.585,41,4,26,1,0.73,0.604,41,4,26,1,0.71,0.564,41,4,26,0,0.745,0.5945,41,4,26,1,0.81,0.645,42,6,27,1
pddl-instances/ipc-2002/domains/driverlog-strips-automatic/instance-4.lp,1.02,0.744,116,7,27,0,0.77,0.644,116,7,27,0,0.76,0.633,116,7,28,0,0.74,0.593,116,7,29,0,0.79,0.646,116,7,27,0,0.77,0.628,116,7,27,0,0.74,0.593,116,7,27,0,0.77,0.6385,116,7,27,0,1.02,0.744,116,7,29,0
pddl-instances/ipc-2002/domains/driverlog-strips-automatic/instance-5.lp,0.88,0.743,60,10,28,0,0.78,0.65,62,14,28,1,0.94,0.806,62,14,30,1,0.88,0.729,62,14,29,1,1.04,0.878,62,14,30,1,0.78,0.649,62,14,28,1,0.78,0.649,60,10,28,0,0.88,0.736,62,14,28.5,1,1.04,0.878,62,14,30,1
pddl-instances/ipc-2002/domains/driverlog-strips-automatic/instance-6.lp,0.89,0.78,55,11,27,0,0.88,0.755,55,11,27,0,0.75,0.632,55,11,28,0,0.91,0.793,55,11,27,0,0.89,0.767,55,11,27,0,0.72,0.616,55,11,27,0,0.72,0.616,55,11,27,0,0.885,0.761,55,11,27,0,0.91,0.793,55,11,28,0
pddl-instances/ipc-2002/domains/driverlog-strips-automatic/instance-7.lp,1.11,0.969,71,18,31,0,0.95,0.805,72,18,32,7,1.14,0.978,72,18,33,7,0.94,0.791,72,18,33,7,1.14,0.984,72,18,33,6,1.04,0.788,72,18,33,7,0.94,0.788,71,18,31,0,1.075,0.887,72,18,33,7,1.14,0.984,72,18,33,7
pddl-instances/ipc-2002/domains/driverlog-strips-automatic/instance-8.lp,1.12,0.988,305,74,33,0,1.06,0.92,438,98,33,3,1,0.87,438,98,33,3,1.09,0.853,438,98,33,3,1.15,1.028,438,98,35,3,1,0.866,438,98,33,3,1,0.853,305,74,33,0,1.075,0.895,438,98,33,3,1.15,1.028,438,98,35,3
pddl-instances/ipc-2002/domains/driverlog-strips-automatic/instance-9.lp,1.66,1.526,229,50,43,0,1.51,1.356,229,50,41,0,1.66,1.412,229,50,42,0,1.47,1.324,229,50,42,0,1.51,1.269,229,50,41,0,1.42,1.273,229,50,41,0,1.42,1.269,229,50,41,0,1.51,1.34,229,50,41.5,0,1.66,1.526,229,50,43,0
pddl-instances/ipc-2002/domains/zenotravel-strips-automatic/instance-1.lp,1.3,1.177,27,5,32,0,0.98,0.879,27,5,32,0,1.05,0.923,27,5,33,0,1.16,1.041,27,5,33,0,1.03,0.92,27,5,33,0,1.06,0.932,27,5,33,0,0.98,0.879,27,5,32,0,1.055,0.9275,27,5,33,0,1.3,1.177,27,5,33,0
pddl-instances/ipc-2002/domains/zenotravel-strips-automatic/instance-10.lp,15.25,14.776,1877,303,315,0,14.86,14.381,1108,212,315,69,15.03,14.546,1108,212,317,69,15.92,15.453,1108,212,316,69,15.34,14.884,551,138,316,40,15.46,14.995,1108,212,316,63,14.86,14.381,551,138,315,0,15.295,14.83,1108,212,316,66,15.92,15.453,1877,303,317,69
pddl-instances/ipc-2002/domains/zenotravel-strips-automatic/instance-11.lp,27.11,26.429,358,100,529,0,27.02,26.33,328,82,528,46,29.58,28.84,328,82,529,46,28.22,27.479,328,82,528,46,26.82,26.178,328,82,528,26,27.09,26.373,328,82,528,45,26.82,26.178,328,82,528,0,27.1,26.401,328,82,528,45.5,29.58,28.84,358,100,529,46
pddl-instances/ipc-2002/domains/zenotravel-strips-automatic/instance-12.lp,28.38,27.613,700,160,546,0,28.12,27.341,553,117,547,62,28.54,27.766,553,117,546,62,28.41,27.649,553,117,550,62,29.17,28.285,553,117,549,38,28.62,27.859,553,117,547,57,28.12,27.341,553,117,546,0,28.475,27.7075,553,117,547,59.5,29.17,28.285,700,160,550,62
pddl-instances/ipc-2002/domains/zenotravel-strips-automatic/instance-13.lp,29.89,29.15,528,109,562,0,29.55,28.706,1261,184,563,45,29.09,28.267,1261,184,563,45,29.86,29.121,1261,184,562,45,29.67,28.85,1260,184,564,31,29.46,28.71,1261,184,566,40,29.09,28.267,528,109,562,0,29.61,28.78,1261,184,563,42.5,29.89,29.15,1261,184,566,45
pddl-instances/ipc-2002/domains/zenotravel-strips-automatic/instance-14.lp,370.27,362.057,7296,1205,6444,0,376.39,368.299,10942,1385,6444,248,365.64,357.775,10942,1385,6445,248,352.39,343.682,10942,1385,6443,248,352.93,344.327,3766,600,6443,95,363.3,354.63,6977,907,6442,235,352.39,343.682,3766,600,6442,0,364.47,356.2025,9119,1295,6443.5,241.5,376.39,368.299,10942,1385,6445,248
pddl-instances/ipc-2002/domains/zenotravel-strips-automatic/instance-15.lp,900,900,0,0,8005,0,900,900,0,0,8001,0,900,900,0,0,8004,0,900,900,0,0,8002,0,900,900,0,0,8003,0,900,900,0,0,8004,0,900,900,0,0,8001,0,900,900,0,0,8003.5,0,900,900,0,0,8005,0
pddl-instances/ipc-2002/domains/zenotravel-strips-automatic/instance-16.lp,900,900,0,0,8012,0,900,900,0,0,8053,0,900,900,0,0,8027,0,900,900,0,0,8069,0,900,900,0,0,8008,0,900,900,0,0,8091,0,900,900,0,0,8008,0,900,900,0,0,8040,0,900,900,0,0,8091,0
pddl-instances/ipc-2002/domains/zenotravel-strips-automatic/instance-17.lp,900,900,0,0,8151,0,900,900,0,0,8150,0,900,900,0,0,8044,0,900,900,0,0,8129,0,900,900,0,0,8147,0,900,900,0,0,8112,0,900,900,0,0,8044,0,900,900,0,0,8138,0,900,900,0,0,8151,0
pddl-instances/ipc-2002/domains/zenotravel-strips-automatic/instance-18.lp,900,900,0,0,8010,0,900,900,0,0,8008,0,900,900,0,0,8009,0,900,900,0,0,8009,0,900,900,0,0,8007,0,900,900,0,0,8010,0,900,900,0,0,8007,0,900,900,0,0,8009,0,900,900,0,0,8010,0
pddl-instances/ipc-2002/domains/zenotravel-strips-automatic/instance-19.lp,900,900,0,0,8012,0,900,900,0,0,8014,0,900,900,0,0,8013,0,900,900,0,0,8013,0,900,900,0,0,8014,0,900,900,0,0,8014,0,900,900,0,0,8012,0,900,900,0,0,8013.5,0,900,900,0,0,8014,0
pddl-instances/ipc-2002/domains/zenotravel-strips-automatic/instance-2.lp,1.14,1.017,7,2,33,0,1.12,0.907,7,2,33,0,1,0.899,7,2,33,0,1.3,1.171,7,2,33,0,1.27,1.149,7,2,33,0,1.1,0.993,7,2,33,0,1,0.899,7,2,33,0,1.13,1.005,7,2,33,0,1.3,1.171,7,2,33,0
pddl-instances/ipc-2002/domains/zenotravel-strips-automatic/instance-20.lp,900,900,0,0,8030,0,900,900,0,0,8029,0,900,900,0,0,8031,0,900,900,0,0,8029,0,900,900,0,0,8031,0,900,900,0,0,8028,0,900,900,0,0,8028,0,900,900,0,0,8029.5,0,900,900,0,0,8031,0
pddl-instances/ipc-2002/domains/zenotravel-strips-automatic/instance-3.lp,1.82,1.685,25,5,45,0,1.81,1.688,25,5,45,0,1.83,1.703,25,5,46,0,1.72,1.589,25,5,45,0,1.66,1.529,25,5,46,0,1.64,1.524,25,5,45,0,1.64,1.524,25,5,45,0,1.765,1.637,25,5,45,0,1.83,1.703,25,5,46,0
pddl-instances/ipc-2002/domains/zenotravel-strips-automatic/instance-4.lp,1.8,1.685,19,9,45,0,1.68,1.549,19,9,45,0,1.75,1.616,19,9,47,0,1.66,1.52,19,9,48,0,1.68,1.544,19,9,45,0,1.72,1.574,19,9,45,0,1.66,1.52,19,9,45,0,1.7,1.5615,19,9,45,0,1.8,1.685,19,9,48,0
pddl-instances/ipc-2002/domains/zenotravel-strips-automatic/instance-5.lp,4.18,4.03,23,7,98,0,4.08,3.917,23,7,98,0,4.07,3.892,23,7,95,0,4.31,4.135,23,7,95,0,4.28,4.108,23,7,96,0,4.08,3.904,23,7,96,0,4.07,3.892,23,7,95,0,4.13,3.9735,23,7,96,0,4.31,4.135,23,7,98,0
pddl-instances/ipc-2002/domains/zenotravel-strips-automatic/instance-6.lp,4.16,3.991,39,10,96,0,4.33,4.05,39,10,96,0,4.32,4.152,39,10,95,0,4.22,4.048,39,10,96,0,4.08,3.916,39,10,96,0,4.1,3.923,39,10,95,0,4.08,3.916,39,10,95,0,4.19,4.0195,39,10,96,0,4.33,4.152,39,10,96,0
pddl-instances/ipc-2002/domains/zenotravel-strips-automatic/instance-7.lp,4.44,4.231,89,23,96,0,4.45,4.228,89,23,96,17,4.67,4.453,89,23,96,17,4.4,4.159,89,23,98,17,4.19,3.986,89,23,99,14,4.25,4.035,89,23,96,17,4.19,3.986,89,23,96,0,4.42,4.1935,89,23,96,17,4.67,4.453,89,23,99,17
pddl-instances/ipc-2002/domains/zenotravel-strips-automatic/instance-8.lp,13.19,12.904,87,21,265,0,14.32,14.004,87,21,264,0,15.64,15.318,87,21,264,0,13.46,13.16,87,21,264,0,13.34,13.022,87,21,263,0,13.26,12.938,87,21,263,0,13.19,12.904,87,21,263,0,13.4,13.091,87,21,264,0,15.64,15.318,87,21,265,0
