,empty-1/base,,,,,,empty-1/mod-encoding,,,,,,empty-1/max-1000-step-1000-size-50-deg-10,,,,,,empty-1/max-1500-step-1500-size-50-deg-10,,,,,,empty-1/max-500-step-500-size-50-deg-10,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-3,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-5,,,,,,min,,,,,,median,,,,,,max,,,,,
,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded
blocks-strips-typed/instances/instance-34.lp,4.69,3.665,17569,2104,117,0,17.94,16.737,83821,7327,262,0,15.82,14.387,24839,5290,270,972,12.72,11.742,26122,5541,245,488,11.98,11.184,25543,5314,238,225,12.46,11.548,42571,5699,229,180,13.63,12.641,50832,6544,271,321,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
blocks-strips-typed/instances/instance-35.lp,5.47,4.312,5667,2314,129,0,12.12,10.981,62601,3840,219,0,10.88,9.887,16802,2030,223,360,10.93,9.939,16802,2030,215,360,10.28,9.431,24550,2126,210,232,10.12,9.267,23224,1900,209,136,10.21,9.34,13965,1698,206,234,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
blocks-strips-typed/instances/instance-36.lp,6.85,5.376,40736,2995,140,0,12.91,11.981,66947,3636,236,0,11.8,10.759,27821,2151,233,334,12,10.937,27821,2151,234,334,11.78,10.848,29432,2349,230,198,10.49,9.622,11687,1083,219,90,11.49,10.509,39586,2434,226,192,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
blocks-strips-typed/instances/instance-37.lp,9.97,8.075,112302,6061,176,0,14.63,13.497,94953,3515,283,0,13.63,12.502,22316,2067,286,270,13.98,12.85,22316,2067,286,270,12.69,11.674,16574,1707,276,173,13.59,12.553,38407,2272,275,168,13.83,12.739,41307,2763,279,230,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
blocks-strips-typed/instances/instance-38.lp,8.7,6.585,60144,2662,177,0,19.25,17.72,78147,5171,331,0,28.39,26.638,113443,7533,405,796,20.86,19.595,112834,7504,378,320,20.57,19.477,112829,7505,372,188,18.55,17.404,87942,7220,334,136,19.21,18.02,104478,8053,334,257,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
blocks-strips-typed/instances/instance-39.lp,8.19,5.998,5826,1122,194,0,30,28.396,138946,7887,422,0,26.62,24.905,63504,5877,431,730,20.5,19.158,64199,5879,417,357,19.9,18.663,65438,6076,407,197,19.13,17.886,48353,5060,390,180,19.45,18.148,69121,5605,387,256,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
blocks-strips-typed/instances/instance-40.lp,7.92,5.816,22346,1150,190,0,14.02,12.909,31180,906,314,0,14.12,13.019,12395,651,315,144,13.78,12.709,12395,651,314,144,13.88,12.809,12395,651,315,144,13.85,12.749,7743,774,312,135,13.72,12.659,9042,676,314,130,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
blocks-strips-typed/instances/instance-41.lp,10.23,7.598,6992,3361,213,0,24.53,23.115,107642,6286,401,0,19.06,17.503,14717,3048,368,493,19.59,18.012,14717,3048,364,493,20.63,19.151,30336,5629,390,376,17.78,16.498,27031,2755,358,139,19.01,17.585,13892,2658,358,297,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
blocks-strips-typed/instances/instance-42.lp,11.69,8.536,94997,2132,236,0,28.52,26.454,173122,7131,449,0,34.02,31.668,117004,8654,511,917,26.53,24.804,117961,8678,485,413,26.25,24.46,117831,8636,467,302,28.13,26.482,106976,9124,443,198,26.12,24.454,90570,6643,485,293,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
depots-strips-automatic/instances/instance-10.lp,2.32,1.895,2028,1148,85,0,9.02,8.716,1908,533,201,0,8.92,8.518,1908,533,202,0,8.97,8.667,1908,533,201,0,8.69,8.413,1908,533,201,0,8.94,8.635,1908,533,199,0,9.52,9.225,1908,533,200,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
