,empty-1/base,,,,,,empty-1/base-mod-enc,,,,,,empty-1/base-heur-mod-enc,,,,,,empty-1/max-1000-step-1000-size-50-deg-10,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-heur,,,,,,empty-1/max-1500-step-1500-size-50-deg-10,,,,,,empty-1/max-1500-step-1500-size-50-deg-10-heur,,,,,,empty-1/max-500-step-500-size-50-deg-10,,,,,,empty-1/max-500-step-500-size-50-deg-10-heur,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-3,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-3-heur,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-5,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-5-heur,,,,,,min,,,,,,median,,,,,,max,,,,,
,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded
HanoiTower/0032-hanoi_tower-60-0.asp,11.57,11.483,156680,123747,33,0,37.4,36.497,466613,323099,59,0,66.5,65.504,762736,561999,62,0,48.54,47.234,527848,381535,83,1000,51.39,50.183,481314,361682,82,1000,40.28,38.649,384379,284603,103,1500,8.54,6.999,53561,38020,97,1500,77.04,76.219,826164,597155,69,500,27.17,26.432,274024,203104,64,500,23.75,22.595,258040,186304,52,425,19.13,18.011,195717,142111,51,460,47.63,45.913,482935,351532,76,1000,55.62,54.09,537674,404033,69,1000,8.54,6.999,53561,38020,51,0,43.955,42.281,473963.5,337315.5,69,750,77.04,76.219,826164,597155,103,1500
HanoiTower/0036-hanoi_tower-80-0.asp,14.6,14.523,188204,153938,31,0,23.34,22.422,283932,199423,60,0,31.84,30.899,393464,280486,62,0,94.35,93.272,978564,752371,79,1000,93.37,92.053,866519,652896,84,1000,70.83,69.361,679554,530471,98,1500,49.41,47.74,442628,332991,98,1500,26.19,25.291,282866,210028,65,500,61.75,61.014,688386,504900,67,500,18.83,17.544,194225,148672,50,217,18.25,16.916,204881,139654,47,296,19.46,17.903,172543,130147,68,1000,47.69,46.316,513665,376252,68,976,18.25,16.916,172543,130147,47,0,39.765,38.6075,418046,306738.5,67.5,738,94.35,93.272,978564,752371,98,1500
HanoiTower/0039-hanoi_tower-80-0.asp,46.34,46.252,489535,404366,41,0,85.32,84.359,1071549,762362,68,0,365.81,364.998,4259609,3044400,79,0,311.12,310.126,3107012,2315626,94,1000,105.83,104.613,1127928,809013,89,1000,367.6,366.129,3152557,2368717,109,1500,351.22,349.763,3435031,2538178,110,1500,203.28,202.582,2002553,1488682,73,500,576.85,576.04,5600107,4066476,84,500,76.17,74.582,827221,586183,56,378,370.48,368.814,3721361,2824893,63,430,113.2,111.399,1124461,850189,77,1000,163.09,161.391,1738011,1274281,78,1000,76.17,74.582,827221,586183,56,0,257.2,256.354,2554782.5,1902154,78.5,750,576.85,576.04,5600107,4066476,110,1500
HanoiTower/0040-hanoi_tower-80-0.asp,79.15,79.057,746769,623577,49,0,241.54,240.608,2825203,2130635,74,0,555.94,554.867,5857532,4344535,89,0,88.1,86.833,944702,693835,86,1000,458.44,457.119,4502734,3383013,101,1000,120.04,118.66,1112500,813000,98,1500,129.53,128.068,1213582,917171,97,1500,218,217.29,2377445,1748217,77,500,372.79,372.024,3884973,2871553,86,500,253.07,251.435,2632783,2063517,63,323,374.32,372.531,3457873,2724509,64,351,166.84,165.055,1541980,1155784,80,1000,191.86,190.328,1883900,1407734,81,1000,88.1,86.833,944702,693835,63,0,229.77,228.949,2505114,1905867,83.5,750,555.94,554.867,5857532,4344535,101,1500
HanoiTower/0046-hanoi_tower-100-0.asp,125.27,125.189,1114104,961071,45,0,900,900,8665929,6803599,95,0,344.04,343.123,3575561,2716088,71,0,582.65,581.126,5760354,4436082,105,1000,199.47,198.252,2091099,1560712,88,1000,492.33,490.908,4588425,3506536,108,1500,900,900,8235178,6211252,126,0,373.29,372.606,3840617,2910297,75,500,900,900,8439128,6464600,94,0,520.66,519.258,4747362,3638116,77,372,900,900,8595780,6569632,88,0,629.54,627.717,5939263,4594835,98,1000,588.13,586.705,5441933,4155437,99,1000,199.47,198.252,2091099,1560712,71,0,585.39,583.9155,5601143.5,4295759.5,94.5,436,900,900,8665929,6803599,126,1500
HanoiTower/0047-hanoi_tower-120-0.asp,12.62,12.554,180784,151730,25,0,121.63,121.158,1584754,1189772,55,0,28.72,28.083,393388,285725,51,0,44.91,44.107,481533,383087,70,855,37.39,36.725,389236,299314,68,807,28.65,28.071,308177,242700,64,727,58.3,57.731,637054,489816,63,699,34.28,33.663,379615,294314,53,500,29.2,28.704,353720,273093,57,500,7.22,6.745,77914,58729,41,193,40.53,39.917,508037,383795,47,154,13.44,12.907,145951,113885,51,554,55.99,55.356,662099,499499,52,474,7.22,6.745,77914,58729,41,0,35.835,35.194,391312,296814,54,500,121.63,121.158,1584754,1189772,70,855
HanoiTower/0048-hanoi_tower-120-0.asp,33.91,33.846,393623,336404,32,0,205.79,205.15,2503384,1917734,60,0,185.34,184.78,2156136,1646433,61,0,40.08,39.322,424999,336040,70,805,139.77,139.035,1480900,1174418,69,758,306.81,306.203,3121244,2477877,74,659,71.49,70.853,791069,625160,66,691,275.6,275.036,2961983,2355858,68,500,75.47,74.911,867855,677067,60,500,50.84,50.246,642975,497130,45,156,151.13,150.492,1868679,1410188,53,153,101.44,100.613,1151043,907552,57,484,116.17,115.623,1311620,1018964,57,368,40.08,39.322,424999,336040,45,0,127.97,127.329,1396260,1096691,60.5,492,306.81,306.203,3121244,2477877,74,805
HanoiTower/0050-hanoi_tower-120-0.asp,123.82,123.746,1192307,1014124,44,0,619.59,618.726,6708755,5229448,80,0,523.67,522.744,5775949,4458326,79,0,900,900,8523429,6890963,84,0,900,900,7983253,6322646,74,0,900,900,8625565,6898170,107,0,900,900,8253551,6435302,98,0,670.92,670.282,6906958,5500334,76,500,900,900,8716244,6687111,86,0,697.56,696.666,7415488,5823856,72,224,815.69,814.882,8038881,6076165,72,238,859.93,858.767,8340072,6649101,81,677,616.46,615.669,6466684,5070256,68,524,523.67,522.744,5775949,4458326,68,0,837.81,836.8245,8011067,6199405.5,79.5,0,900,900,8716244,6898170,107,677
HanoiTower/0056-hanoi_tower-120-0.asp,900,900,6541723,5530615,98,0,900,900,9478003,7506178,100,0,900,900,8858498,6925897,91,0,900,900,7441670,6058191,98,0,900,900,8699814,6821738,102,0,900,900,7916811,6424764,102,0,900,900,8638654,6744648,110,0,900,900,8058937,6498562,89,0,900,900,8885537,6866074,91,0,900,900,8525097,6826035,90,0,900,900,8744204,6841773,84,0,900,900,8044963,6435572,89,0,900,900,8329698,6522261,83,0,900,900,7441670,6058191,83,0,900,900,8581875.5,6783193,91,0,900,900,9478003,7506178,110,0
HanoiTower/0059-hanoi_tower-120-0.asp,900,900,6408510,5449978,108,0,900,900,8905914,7075485,86,0,900,900,8502110,6721750,87,0,900,900,7991146,6335928,99,0,900,900,7738252,6178588,96,0,900,900,8030837,6408372,100,0,900,900,7519197,6007529,97,0,900,900,8225471,6524664,86,0,900,900,8152686,6487320,84,0,900,900,8473719,6671679,80,0,900,900,8490506,6640747,73,0,900,900,8356870,6634358,88,0,900,900,7381297,5862347,86,0,900,900,7381297,5862347,73,0,900,900,8189078.5,6505992,86.5,0,900,900,8905914,7075485,100,0
