,empty-1/base,,,,,,empty-1/base-mod-enc,,,,,,empty-1/base-heur-mod-enc,,,,,,empty-1/max-1000-step-1000-size-50-deg-10,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-heur,,,,,,empty-1/max-1500-step-1500-size-50-deg-10,,,,,,empty-1/max-1500-step-1500-size-50-deg-10-heur,,,,,,empty-1/max-500-step-500-size-50-deg-10,,,,,,empty-1/max-500-step-500-size-50-deg-10-heur,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-3,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-3-heur,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-5,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-5-heur,,,,,,min,,,,,,median,,,,,,max,,,,,
,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded
Labyrinth/0151-labyrinth-19-0.asp,900,900,1438293,1143456,79,0,900,900,13136424,846589,325,0,900,900,13598669,887333,285,0,900,900,13191741,852530,319,0,900,900,13545860,884086,287,0,900,900,12857644,832137,318,0,900,900,13623152,888288,293,0,900,900,13163348,849232,318,0,900,900,13679166,892526,287,0,900,900,13175823,851856,318,0,900,900,13430048,876676,292,0,900,900,13051682,842861,318,0,900,900,13429086,876325,285,0,900,900,12857644,832137,285,0,900,900,13310413.5,864427.5,305.5,0,900,900,13679166,892526,325,0
Labyrinth/0157-labyrinth-13-0.asp,900,900,2078370,1762446,68,0,900,900,10061437,1525275,197,0,900,900,7834440,1352827,213,0,900,900,10168326,1548881,198,0,900,900,7805873,1347114,206,0,900,900,9994424,1510477,201,0,900,900,7731171,1334987,206,0,900,900,10116707,1538307,197,0,900,900,7876147,1358734,206,0,900,900,10099219,1534025,197,0,900,900,7779005,1342964,210,0,900,900,9983420,1508048,197,0,900,900,7936550,1366916,206,0,900,900,7731171,1334987,197,0,900,900,8959985,1437482,203.5,0,900,900,10168326,1548881,213,0
Labyrinth/0192-labyrinth-18-0.asp,900,900,1502880,1279218,69,0,900,900,10896468,1026628,253,0,900,900,11326150,1003220,281,0,900,900,10715747,996116,255,0,900,900,11448342,1024063,288,0,900,900,10750664,1002559,253,0,900,900,11438427,1021519,282,0,900,900,10764831,1004759,246,0,900,900,11507036,1035588,281,0,900,900,10788709,1009938,253,0,900,900,11530937,1040837,280,0,900,900,10840534,1018562,252,0,900,900,11388841,1012563,282,0,900,900,10715747,996116,246,0,900,900,11111309,1015562.5,267.5,0,900,900,11530937,1040837,288,0
Labyrinth/0204-labyrinth-20-0.asp,900,900,3652338,1036425,195,0,900,900,13812374,720990,328,0,900,900,15420856,782226,327,0,900,900,14091107,736898,321,0,900,900,15325775,774670,320,0,900,900,13805021,720180,321,0,900,900,15176451,766952,320,0,900,900,13921845,728393,321,0,900,900,15231139,768813,320,0,900,900,13922021,728432,328,0,900,900,15338233,776218,320,0,900,900,13890524,726754,321,0,900,900,15493709,784425,328,0,900,900,13805021,720180,320,0,900,900,14633779,751925,321,0,900,900,15493709,784425,328,0
Labyrinth/0205-labyrinth-20-0.asp,900,900,1593163,1222620,81,0,900,900,16887194,797377,344,0,900,900,17964818,853499,343,0,900,900,16819250,790295,345,0,900,900,17922137,850862,349,0,900,900,16636791,780327,344,0,900,900,17908832,850285,343,0,900,900,16705164,783608,336,0,900,900,17955161,852617,342,0,900,900,16836857,791369,337,0,900,900,17711468,840803,343,0,900,900,16822737,790365,337,0,900,900,18002122,857008,351,0,900,900,16636791,780327,336,0,900,900,17299331,819090,343,0,900,900,18002122,857008,351,0
Labyrinth/0207-labyrinth-20-0.asp,900,900,1598733,1320386,80,0,900,900,13580078,791336,304,0,900,900,15237039,873987,279,0,900,900,13449815,782386,297,0,900,900,15134486,866660,278,0,900,900,13479725,784578,298,0,900,900,14918643,855423,279,0,900,900,13552177,789940,297,0,900,900,15063173,862279,279,0,900,900,13367891,775110,297,0,900,900,14587546,832913,276,0,900,900,13339380,773648,304,0,900,900,14956480,856655,278,0,900,900,13339380,773648,276,0,900,900,14083812,812124.5,288,0,900,900,15237039,873987,304,0
Labyrinth/0209-labyrinth-20-0.asp,900,900,1579402,1331591,70,0,900,900,12598695,775165,317,0,900,900,14339601,829996,272,0,900,900,12632676,778011,317,0,900,900,14358328,830878,273,0,900,900,12425476,765194,311,0,900,900,14092133,817640,280,0,900,900,12589573,774629,311,0,900,900,14241355,825912,274,0,900,900,12424990,765090,310,0,900,900,14221722,824248,272,0,900,900,12446651,767380,317,0,900,900,14384576,832151,273,0,900,900,12424990,765090,272,0,900,900,13362404.5,797825.5,295,0,900,900,14384576,832151,317,0
Labyrinth/0210-labyrinth-20-0.asp,900,900,1315391,1034848,81,0,900,900,15143157,831874,306,0,900,900,16407058,847839,305,0,900,900,15078681,829810,306,0,900,900,16535049,858017,346,0,900,900,15123060,831231,306,0,900,900,16458819,852880,312,0,900,900,15080524,829829,305,0,900,900,16407003,847787,313,0,900,900,15448217,848067,306,0,900,900,16320686,844597,305,0,900,900,15065382,827554,307,0,900,900,16304745,842585,311,0,900,900,15065382,827554,305,0,900,900,15876481,843591,306,0,900,900,16535049,858017,346,0
Labyrinth/0215-labyrinth-21-0.asp,900,900,1408810,1106438,83,0,900,900,15242190,791011,365,0,900,900,16244570,847407,313,0,900,900,15429150,799366,364,0,900,900,16560080,858586,316,0,900,900,15217674,789708,365,0,900,900,15853810,825793,322,0,900,900,15580965,809955,365,0,900,900,16209432,845900,315,0,900,900,15217298,789497,365,0,900,900,16367983,850598,315,0,900,900,15210818,786776,364,0,900,900,16229168,846465,316,0,900,900,15210818,786776,313,0,900,900,15717387.5,817874,343,0,900,900,16560080,858586,365,0
Labyrinth/0238-labyrinth-22-0.asp,900,900,1397425,1152992,90,0,900,900,15876360,744760,359,0,900,900,18628176,739703,411,0,900,900,16090145,755865,364,0,900,900,18425875,728750,410,0,900,900,16052237,753646,358,0,900,900,18232240,716103,411,0,900,900,15931606,748984,358,0,900,900,18602462,739141,405,0,900,900,15894221,745423,357,0,900,900,16709047,634012,410,0,900,900,16061808,754328,357,0,900,900,18550594,738063,411,0,900,900,15876360,634012,357,0,900,900,16399596,742231.5,384.5,0,900,900,18628176,755865,411,0
Labyrinth/0241-labyrinth-22-0.asp,900,900,1343513,1117756,79,0,900,900,11737369,677242,354,0,900,900,10545421,693086,380,0,900,900,11567308,667126,356,0,900,900,10575533,694748,380,0,900,900,11876221,684933,354,0,900,900,10737488,709237,379,0,900,900,11578217,668511,354,0,900,900,10744968,710727,388,0,900,900,11708848,675717,354,0,900,900,9005216,580027,379,0,900,900,11640874,672661,354,0,900,900,10548454,693276,380,0,900,900,9005216,580027,354,0,900,900,11156138,681087.5,367.5,0,900,900,11876221,710727,388,0
Nomistery/0006-nomystery-55-0.asp,11.93,11.869,94442,67119,23,0,120.87,120.161,639529,438011,96,0,216.72,216.049,1083537,733053,86,0,57.12,55.794,349158,242838,95,1000,70.95,69.646,489379,334774,91,1000,95.19,93.864,530621,381855,99,1500,83.77,82.481,536982,367939,98,1500,77.06,76.552,462213,326060,67,500,58.26,57.763,444646,297470,69,500,179.43,178.289,914837,657158,74,699,117.38,116.386,782055,572653,61,614,13.52,12.246,84764,53542,73,1000,22.18,20.964,172910,107568,72,1000,13.52,12.246,84764,53542,61,0,80.415,79.5165,510000,351356.5,80,849.5,216.72,216.049,1083537,733053,99,1500
Nomistery/0007-nomystery-57-0.asp,3.52,3.47,36196,23319,22,0,5.76,5.273,36857,22687,57,0,7.33,6.905,42017,25256,57,0,10.09,9.266,56493,38808,78,1000,6.94,6.119,41409,26534,78,1000,4.72,3.951,27639,16533,73,902,10.16,9.451,59840,39286,70,835,2.53,2.054,17453,9498,56,500,10.72,10.232,70616,47298,57,500,5.45,4.81,36331,21736,45,363,6.82,6.17,41586,26680,45,350,11.04,10.301,61675,42522,64,788,3.47,2.635,17604,9641,64,824,2.53,2.054,17453,9498,45,0,6.88,6.1445,41497.5,25895,60.5,644,11.04,10.301,70616,47298,78,1000
Nomistery/0009-nomystery-63-0.asp,6.43,6.377,58638,40026,23,0,14.19,12.973,85294,56342,66,0,23.28,22.26,149509,100323,79,0,16.02,14.603,107894,73908,83,1000,13.9,12.565,88086,58172,78,1000,14.9,13.416,93174,63549,95,1500,12.8,11.51,78392,52551,92,1500,29.81,29.289,189700,132993,61,500,18.39,17.88,137317,91148,57,500,14.28,13.247,88536,59542,52,664,13.24,12.197,82659,54605,53,623,12.24,11.056,79777,54352,66,1000,13.71,12.379,92400,59723,71,1000,12.24,11.056,78392,52551,52,0,14.235,13.11,90468,59632.5,68.5,832,29.81,29.289,189700,132993,95,1500
Nomistery/0012-nomystery-84-0.asp,61.82,61.749,282399,186562,42,0,900,900,2492148,1718426,210,0,900,900,2740841,1783557,222,0,433.17,432.093,1502195,1049345,157,1000,900,900,2873107,1924381,228,0,461.28,460.24,1632628,1159515,162,1397,900,900,2988307,2033806,192,0,900,900,2278492,1573946,197,0,900,900,2819462,1881144,246,0,900,900,2611661,1846874,171,0,900,900,3084043,2150556,159,0,559.75,558.726,1840617,1295120,157,1000,900,900,3044987,2071291,187,0,433.17,432.093,1502195,1049345,157,0,900,900,2676251,1815215.5,189.5,0,900,900,3084043,2150556,246,1397
Nomistery/0014-nomystery-73-0.asp,167.94,167.873,663027,463961,57,0,380.4,379.422,1513776,1054698,140,0,900,900,3325229,2206762,175,0,769.05,767.918,2769912,1972190,138,1000,732.27,731.051,3114126,2161877,151,1000,900,900,3140839,2291595,145,0,666.1,664.818,2796250,1965158,148,1500,467.3,466.775,1810753,1256888,145,500,303.99,303.476,1401727,958263,124,500,900,900,2912505,2084777,122,0,274.9,273.923,1397379,934186,95,653,427.38,426.229,1727952,1220242,137,1000,300.7,299.669,1502182,1062186,113,1000,274.9,273.923,1397379,934186,95,0,566.7,565.7965,2290332.5,1611023,139,576.5,900,900,3325229,2291595,175,1500
Nomistery/0024-nomystery-86-0.asp,900,900,2100036,1455567,110,0,900,900,12642124,2016001,280,0,900,900,3105224,2095686,248,0,900,900,2673236,1848761,246,0,900,900,3170580,2089480,230,0,900,900,9118088,1989078,285,0,900,900,7596431,2058299,259,0,900,900,2736805,1930835,219,0,900,900,3085376,2026769,266,0,900,900,2782098,1932999,228,0,900,900,3138183,2095928,224,0,900,900,2895170,2009799,214,0,900,900,2985015,2000844,210,0,900,900,2673236,1848761,210,0,900,900,3095300,2012900,238,0,900,900,12642124,2095928,285,0
Nomistery/0025-nomystery-85-0.asp,900,900,1679171,1259007,124,0,900,900,2502680,1729454,245,0,900,900,2998765,1995106,270,0,900,900,2540467,1792186,193,0,900,900,2732879,1873255,302,0,900,900,2503628,1787231,193,0,900,900,2809413,1919516,331,0,900,900,2445045,1714814,236,0,900,900,2736407,1825096,299,0,900,900,2467321,1753639,188,0,900,900,3070672,2066394,238,0,900,900,2502195,1789215,194,0,900,900,2828939,1895668,228,0,900,900,2445045,1714814,188,0,900,900,2636673,1808641,237,0,900,900,3070672,2066394,331,0
Nomistery/0027-nomystery-172-0.asp,900,900,1588098,1045881,116,0,900,900,2275791,1515360,304,0,900,900,4730332,1369686,278,0,900,900,2319408,1457488,290,0,900,900,4451446,1486291,293,0,900,900,4042899,1357502,359,0,900,900,4328194,1516723,330,0,900,900,4765625,1362619,303,0,900,900,4504508,1499243,390,0,900,900,2425153,1296261,317,0,900,900,4226959,1304579,314,0,900,900,5001993,1455745,380,0,900,900,2956438,1332574,247,0,900,900,2275791,1296261,247,0,900,900,4277576.5,1412715.5,309,0,900,900,5001993,1516723,390,0
Nomistery/0028-nomystery-167-0.asp,900,900,4053943,1143095,138,0,900,900,4560214,1369830,361,0,900,900,4516504,1438968,284,0,900,900,5630937,1534436,334,0,900,900,4762920,1421860,230,0,900,900,5361851,1525278,328,0,900,900,5184105,1430479,263,0,900,900,5141569,1438001,422,0,900,900,4630116,1486262,234,0,900,900,4864388,1448756,248,0,900,900,4639205,1444438,302,0,900,900,5251045,1324360,268,0,900,900,4951577,1418763,263,0,900,900,4516504,1324360,230,0,900,900,4907982.5,1438484.5,276,0,900,900,5630937,1534436,422,0
Nomistery/0029-nomystery-123-0.asp,900,900,1717301,1213352,118,0,900,900,6531488,1691411,300,0,900,900,5303102,1638049,346,0,900,900,6882537,1749344,253,0,900,900,4580779,1756154,310,0,900,900,3679542,1720137,260,0,900,900,5787501,1712396,263,0,900,900,4926314,1722456,293,0,900,900,2971948,1949282,328,0,900,900,6933242,1669912,228,0,900,900,6002021,1662557,263,0,900,900,7159129,1725485,234,0,900,900,5838063,1709940,310,0,900,900,2971948,1638049,228,0,900,900,5812782,1716266.5,278,0,900,900,7159129,1949282,346,0
Nomistery/0030-nomystery-117-0.asp,900,900,1645901,1189970,102,0,900,900,2512828,1640979,266,0,900,900,6654512,1558713,335,0,900,900,2615467,1758289,234,0,900,900,3039395,1752169,339,0,900,900,6570856,1690805,206,0,900,900,5593758,1606355,214,0,900,900,7962717,1657304,255,0,900,900,6272140,1574284,336,0,900,900,2581387,1729040,208,0,900,900,2833665,1813855,329,0,900,900,7588724,1685916,285,0,900,900,6111926,1633017,218,0,900,900,2512828,1558713,206,0,900,900,5852842,1671610,260.5,0,900,900,7962717,1813855,339,0
Nomistery/0031-nomystery-52-0.asp,3.92,3.864,44037,31308,19,0,2.15,1.515,17480,8529,45,0,2.86,2.22,23436,12691,45,0,3.9,3.015,26321,16840,78,1000,4.04,3.223,30503,18931,75,1000,5.72,4.769,40750,28177,75,948,7.88,7.181,61835,43173,69,873,4.19,3.694,36078,23297,53,500,2.15,1.692,17133,8882,50,500,4.51,3.808,39294,24119,41,351,5.53,4.907,47135,30895,41,401,2.4,1.653,14538,7508,62,828,7.22,6.474,57039,38698,62,852,2.15,1.515,14538,7508,41,0,4.115,3.4585,33290.5,21114,57.5,664,7.88,7.181,61835,43173,78,1000
Nomistery/0033-nomystery-32-0.asp,1.34,1.276,17489,12370,17,0,3.04,2.578,19232,12090,44,0,2.96,2.165,19322,11858,46,0,1.89,1.281,7034,4454,57,562,2.39,1.697,9110,5942,67,828,1.74,1.219,7034,4454,57,562,2.56,1.874,12205,8258,65,790,1.68,1.19,7491,4737,53,500,1.76,1.307,8904,5351,50,500,2.81,2.178,17176,11422,40,414,1.76,1.139,6711,3824,39,363,2.52,1.66,8308,5667,64,865,2.6,1.859,12076,7886,60,781,1.68,1.139,6711,3824,39,0,2.455,1.6785,9007,5804.5,55,531,3.04,2.578,19322,12090,67,865
Nomistery/0034-nomystery-64-0.asp,1.19,1.133,14349,9076,17,0,3.95,3.339,29397,17222,53,0,2.58,1.778,12283,5739,46,0,2.75,1.997,11652,6982,76,1000,3.16,2.271,10540,6592,81,1000,5.02,4.331,28286,18573,70,865,4.83,4.165,29116,19388,69,785,4.1,3.645,29103,17889,55,500,4.54,4.037,29497,19153,54,500,2.63,2.097,14449,8387,42,323,3.08,2.484,18004,10543,44,419,2.45,1.724,11054,6691,65,805,5.05,4.35,30557,20456,63,786,2.45,1.724,10540,5739,42,0,3.555,2.9115,23145,13882.5,59,642.5,5.05,4.35,30557,20456,81,1000
Nomistery/0037-nomystery-36-0.asp,18.44,18.384,151429,109634,23,0,51.83,50.834,378837,262739,70,0,54.72,53.747,421858,292592,70,0,17.16,15.839,126385,85553,82,1000,166.93,166.044,1114838,776669,89,1000,64.92,63.602,413983,302867,98,1500,68.15,66.729,515192,361401,92,1500,57.42,56.883,408006,282713,67,500,48.34,47.855,428186,289339,66,500,37.6,36.58,286786,205466,47,526,48.07,46.884,345877,238794,51,679,26.36,25.05,195495,135511,71,1000,118.27,116.759,843142,590081,83,1000,17.16,15.839,126385,85553,47,0,53.275,52.2905,410994.5,286026,70.5,839.5,166.93,166.044,1114838,776669,98,1500
Nomistery/0038-nomystery-63-0.asp,26.82,26.768,162731,113956,27,0,209.78,208.741,852454,591874,110,0,263.12,262.487,1131353,770182,86,0,183.02,182.281,911750,656059,97,1000,55.07,54.31,358163,228463,80,1000,189.14,188.052,957424,698339,98,1500,173.8,172.591,913959,638657,100,1500,114.52,113.989,541625,385871,61,500,161.18,160.708,850492,592371,75,500,118.58,117.505,645999,456923,74,664,141.05,139.992,810105,561640,77,648,58.47,57.226,340030,231629,82,1000,213.33,212.121,1107688,772414,100,1000,55.07,54.31,340030,228463,61,0,167.49,166.6495,851473,592122.5,84,832,263.12,262.487,1131353,772414,110,1500
Nomistery/0039-nomystery-42-0.asp,4.13,4.082,48666,33830,20,0,15.3,14.455,129600,91709,53,0,14.98,13.846,133119,91448,61,0,8.53,7.316,64052,43819,81,1000,11.68,10.474,94703,64030,82,1000,5.33,4.026,29893,19932,91,1302,12.01,10.692,91461,64258,100,1443,13.36,12.47,117076,82834,59,500,28.12,27.317,238601,169404,61,500,11.89,10.908,105162,75038,42,342,8.57,7.597,73148,49054,42,380,4.87,3.687,28407,18228,62,883,12.82,11.442,96721,67809,64,917,4.87,3.687,28407,18228,42,0,11.95,10.8,95712,66033.5,61.5,691.5,28.12,27.317,238601,169404,100,1443
Nomistery/0041-nomystery-88-0.asp,103.31,103.238,389298,270417,47,0,900,900,3008694,2123652,233,0,900,900,3364519,2246569,193,0,900,900,2925015,2082139,214,0,752.62,751.79,4045458,2271002,173,1000,900,900,3130557,2238522,229,0,900,900,10621096,2483521,251,0,900,900,3140318,2134910,197,0,900,900,3392406,2308077,187,0,900,900,3150670,2248511,216,0,900,900,3549935,2433682,176,0,900,900,3145107,2233188,246,0,900,900,3489607,2383759,201,0,752.62,751.79,2925015,2082139,173,0,900,900,3257594.5,2247540,207.5,0,900,900,10621096,2483521,251,1000
Nomistery/0042-nomystery-56-0.asp,78.22,78.158,358267,264326,38,0,517.17,516.136,1987035,1374647,138,0,794.05,793.128,3289806,2202671,137,0,542.26,541.065,2049335,1471931,132,1000,192.26,190.964,1064085,727078,114,1000,48.98,47.825,310836,207186,100,1480,606.82,605.53,2572949,1815296,126,1500,330.81,330.217,1479380,1030878,108,500,900,900,3586075,2417635,139,0,470.64,469.666,1894519,1339427,104,550,868.1,867.057,3189413,2185778,123,538,49.69,48.559,325339,219023,78,1000,900,900,3404931,2331152,167,0,48.98,47.825,310836,207186,78,0,529.715,528.6005,2018185,1423289,124.5,544,900,900,3586075,2417635,167,1500
Nomistery/0045-nomystery-44-0.asp,36.12,36.047,225634,167201,36,0,47.95,47,312994,218502,65,0,99.18,98.145,594466,411680,80,0,54.99,53.612,347366,252637,87,1000,195.74,194.286,1078695,782385,99,1000,69.6,68,434258,323669,95,1396,59.23,57.745,370023,266321,106,1500,166.04,165.522,874474,641627,75,500,40.34,39.746,287402,198614,65,500,181.57,180.464,928780,686142,66,519,74.09,72.926,490749,354237,67,586,71.03,69.633,443324,324984,82,1000,87.92,86.562,553506,405073,83,1000,40.34,39.746,287402,198614,65,0,72.56,71.2795,467036.5,339610.5,81,793,195.74,194.286,1078695,782385,106,1500
RicochetRobots/007-ricochetrobot-17-0.asp,900,900,2656422,2137203,67,0,900,900,2584232,1894515,157,0,900,900,2736124,1954656,153,0,900,900,2420306,1801203,158,0,900,900,2659413,1955875,146,0,900,900,2206440,1651305,152,0,900,900,2598714,1906796,160,0,900,900,2523129,1873449,146,0,900,900,2626507,1914405,134,0,900,900,2397843,1781992,133,0,900,900,2540294,1864167,156,0,900,900,2453097,1834665,142,0,900,900,2666803,1952345,138,0,900,900,2206440,1651305,133,0,900,900,2562263,1883982,149,0,900,900,2736124,1955875,160,0
RicochetRobots/018-ricochetrobot-14-0.asp,682.42,682.346,1988760,1586588,67,0,70.96,70.24,306424,190093,74,0,109.67,108.972,417068,272605,75,0,83.28,82.285,367045,236853,91,1000,79.82,78.915,314471,203499,94,1000,101.26,100.273,404530,264764,106,1332,238.46,237.327,892318,611873,123,1350,171.74,171.223,643643,433465,94,500,101.98,101.445,423682,274604,80,500,93.22,92.462,375689,244103,74,593,155.72,155.015,579735,383227,88,607,195.92,195.101,732843,506886,100,852,67.15,66.264,272774,170564,82,862,67.15,66.264,272774,170564,74,0,101.62,100.859,410799,268684.5,89.5,729.5,238.46,237.327,892318,611873,123,1350
RicochetRobots/025-ricochetrobot-14-0.asp,690.62,690.544,2259456,1824200,57,0,68.78,68.057,307030,191825,76,0,105.59,104.818,434676,276228,74,0,70.98,70.123,304767,194706,91,1000,127.35,126.457,496936,322548,96,1000,128.38,127.427,483218,322777,108,1316,100.63,99.607,390437,252220,100,1347,54.74,54.201,251743,156333,73,500,146.13,145.553,583523,382018,82,500,54.63,53.956,240261,150849,69,720,94.41,93.644,362384,231067,73,663,63.95,63.017,238235,154752,84,944,93.03,92.199,403388,258298,87,962,54.63,53.956,238235,150849,69,0,93.72,92.9215,376410.5,241643.5,83,832,146.13,145.553,583523,382018,108,1347
RicochetRobots/030-ricochetrobot-16-0.asp,900,900,2579258,2076941,68,0,900,900,2600523,1899197,139,0,900,900,2663328,1901882,164,0,900,900,2373911,1775011,148,0,900,900,2464824,1819657,154,0,900,900,2362597,1769410,163,0,900,900,2488132,1837291,158,0,900,900,2439819,1797319,146,0,900,900,2570912,1871079,143,0,900,900,2432404,1812147,142,0,900,900,2495769,1823958,134,0,900,900,2288028,1707925,140,0,900,900,2521614,1864199,137,0,900,900,2288028,1707925,134,0,900,900,2476478,1821807.5,144.5,0,900,900,2663328,1901882,164,0
RicochetRobots/038-ricochetrobot-13-0.asp,36.36,36.309,181421,132335,33,0,12.77,12.154,72612,35758,67,0,19.42,18.764,108412,56162,65,0,52.34,51.526,237178,147391,92,1000,31.37,30.529,156688,93128,95,1000,13.48,12.603,69146,36974,100,1188,21.06,20.069,103796,60773,105,1220,15.43,14.937,88743,46649,73,500,19.69,19.185,107319,61041,76,500,30.8,30.117,157861,90607,62,558,22.28,21.605,125304,68262,62,550,27.8,27.121,145865,83984,72,859,21.77,21.052,115951,63008,75,846,12.77,12.154,69146,35758,62,0,21.415,20.5605,112181.5,62024.5,74,702,52.34,51.526,237178,147391,105,1220
RicochetRobots/040-ricochetrobot-14-0.asp,375.47,375.402,1351369,1082164,48,0,131.3,130.686,558139,365507,89,0,67.31,66.624,329317,200894,73,0,86.36,85.512,360308,231245,92,1000,51.62,50.795,228759,140845,94,1000,82.77,81.802,334177,216539,106,1368,53.42,52.39,233413,144814,110,1370,160.72,160.205,588440,394725,93,500,47.08,46.526,218335,132982,75,500,124.7,124.025,489904,324464,82,619,239.66,238.945,892321,613161,95,593,74.92,74.177,337078,213810,83,925,111.69,110.937,467470,303555,83,837,47.08,46.526,218335,132982,73,0,84.565,83.657,348693,223892,90.5,728,239.66,238.945,892321,613161,110,1370
RicochetRobots/046-ricochetrobot-13-0.asp,53.91,53.851,246282,181832,35,0,25.33,24.661,123172,70539,67,0,24.1,23.383,107737,64495,73,0,31.13,30.144,120869,76467,88,1000,23.24,22.375,108926,64598,96,1000,30.78,29.835,118381,75422,99,1254,22.52,21.53,100403,60955,107,1294,29.72,29.116,116530,74604,68,500,21.66,21.14,100486,59789,75,500,22.39,21.694,94858,57806,68,526,23.4,22.706,105557,63171,63,523,20.82,19.983,90408,53808,68,736,24.09,23.301,117431,68674,80,799,20.82,19.983,90408,53808,63,0,23.745,23.0035,108331.5,64546.5,74,631,31.13,30.144,123172,76467,107,1294
RicochetRobots/059-ricochetrobot-15-0.asp,900,900,2793337,2248247,62,0,53.17,52.384,247840,150541,72,0,69.26,68.617,321116,194184,73,0,45.05,44.225,198082,122802,90,1000,71.44,70.616,307281,191894,90,1000,35.08,34.23,149847,95049,97,1208,67.03,66.124,286007,179846,97,1217,74.93,74.434,319391,204489,77,500,85.38,84.896,376455,236658,80,500,74.5,73.841,308174,196478,70,527,76.78,76.099,332493,210026,72,499,42.99,42.227,184815,114485,82,906,95.77,95.069,415898,263205,90,824,35.08,34.23,149847,95049,70,0,70.35,69.6165,307727.5,193039,81,675.5,95.77,95.069,415898,263205,97,1217
RicochetRobots/060-ricochetrobot-14-0.asp,298.62,298.555,1067830,850990,49,0,42.02,41.348,193605,114601,79,0,99.66,98.927,462936,291803,83,0,34.48,33.654,150676,92170,90,1000,69.01,68.1,302222,187064,92,1000,32.08,31.171,130256,81925,100,1263,53.48,52.51,236497,143959,102,1266,47.79,47.16,219031,133073,74,500,38.69,38.101,171533,102882,73,500,27.95,27.265,120865,73203,61,583,33.85,33.162,166332,96724,63,578,39.32,38.433,179030,109023,76,877,34.54,33.748,145355,90277,81,914,27.95,27.265,120865,73203,61,0,39.005,38.267,175281.5,105952.5,80,730,99.66,98.927,462936,291803,102,1266
RicochetRobots/061-ricochetrobot-14-0.asp,375.38,375.308,1315399,1050582,50,0,59.98,59.287,294185,179476,74,0,106.56,105.88,486513,304912,76,0,42.69,41.827,187901,115213,86,1000,56.67,55.711,222532,143415,90,1000,68.1,67.151,275716,177241,98,1298,52.86,51.934,206862,133547,98,1195,81.53,81.01,347871,223897,83,500,75.95,75.426,316235,202172,74,500,44.54,43.846,182592,114651,65,541,92.45,91.772,395625,256282,67,522,41.88,41.003,185907,116067,74,847,36.62,35.851,161957,104386,81,904,36.62,35.851,161957,104386,65,0,58.325,57.499,249124,160328,78.5,694,106.56,105.88,486513,304912,98,1298
RicochetRobots/062-ricochetrobot-25-0.asp,900,900,2816534,2275690,64,0,900,900,2550784,1874801,158,0,900,900,2624005,1881489,188,0,900,900,2295908,1715622,145,0,900,900,2600372,1928592,145,0,900,900,2499252,1888900,164,0,900,900,2405559,1776865,151,0,900,900,2442388,1833939,138,0,900,900,2717548,1973562,143,0,900,900,2427576,1815183,144,0,900,900,2682004,1938137,127,0,900,900,2459062,1843280,145,0,900,900,2395811,1747576,138,0,900,900,2295908,1715622,127,0,900,900,2479157,1859040.5,145,0,900,900,2717548,1973562,188,0
RicochetRobots/074-ricochetrobot-18-0.asp,900,900,2875556,2340367,60,0,900,900,2666065,1955752,149,0,900,900,2786664,1995960,141,0,900,900,2433134,1821166,156,0,900,900,2618642,1906143,153,0,900,900,2489016,1871569,162,0,900,900,2674959,1962392,163,0,900,900,2595440,1922995,152,0,900,900,2750927,1985353,154,0,900,900,2563726,1921285,135,0,900,900,2754765,2020496,142,0,900,900,2570232,1924024,146,0,900,900,2654519,1956306,148,0,900,900,2433134,1821166,135,0,900,900,2636580.5,1939888,150.5,0,900,900,2786664,2020496,163,0
RicochetRobots/078-ricochetrobot-17-0.asp,900,900,2749617,2242227,68,0,900,900,2576692,1882722,161,0,900,900,2779761,2002200,147,0,900,900,2277370,1695670,167,0,900,900,2664503,1957579,149,0,900,900,2522677,1894997,152,0,900,900,2422353,1782522,150,0,900,900,2467715,1828629,146,0,900,900,2732064,1987791,138,0,900,900,2507591,1868298,137,0,900,900,2703662,1982556,127,0,900,900,2306971,1728722,146,0,900,900,2656656,1956878,148,0,900,900,2277370,1695670,127,0,900,900,2549684.5,1888859.5,147.5,0,900,900,2779761,2002200,167,0
