scalings,0,500,1000,1500
blocks-strips-typed/instance-38.lp,0,0,0,0
blocks-strips-typed/instance-39.lp,0,0,0,0
blocks-strips-typed/instance-40.lp,0,0,0,0
blocks-strips-typed/instance-41.lp,0,0,0,0
blocks-strips-typed/instance-42.lp,0,0,0,0
depots-strips-automatic/instance-10.lp,683,487,487,487
depots-strips-automatic/instance-11.lp,1,0,0,0
depots-strips-automatic/instance-12.lp,0,0,0,0
depots-strips-automatic/instance-13.lp,1124,112,112,112
depots-strips-automatic/instance-14.lp,68,41,41,41
depots-strips-automatic/instance-15.lp,42,42,42,42
depots-strips-automatic/instance-16.lp,2122,3606,3606,3606
depots-strips-automatic/instance-17.lp,2603,1401,1401,1401
depots-strips-automatic/instance-18.lp,160,119,119,119
depots-strips-automatic/instance-19.lp,1307,424,424,424
depots-strips-automatic/instance-20.lp,191,15,15,15
depots-strips-automatic/instance-3.lp,94,17,17,17
depots-strips-automatic/instance-4.lp,19,3,3,3
depots-strips-automatic/instance-5.lp,4,4,4,4
depots-strips-automatic/instance-6.lp,0,0,0,0
depots-strips-automatic/instance-7.lp,145,44,44,44
depots-strips-automatic/instance-8.lp,165,206,206,206
depots-strips-automatic/instance-9.lp,29,29,29,29
driverlog-strips-automatic/instance-11.lp,1258,251,251,251
driverlog-strips-automatic/instance-12.lp,262,72,72,72
driverlog-strips-automatic/instance-13.lp,484,146,146,146
driverlog-strips-automatic/instance-14.lp,903,514,514,514
driverlog-strips-automatic/instance-15.lp,2096,812,812,812
driverlog-strips-automatic/instance-17.lp,3398,1034,1034,1034
driverlog-strips-automatic/instance-18.lp,894,475,475,475
driverlog-strips-automatic/instance-7.lp,143,141,141,141
driverlog-strips-automatic/instance-9.lp,389,51,51,51
elevator-strips-simple-typed/instance-38.lp,209,70,70,70
elevator-strips-simple-typed/instance-40.lp,177,26,26,26
elevator-strips-simple-typed/instance-42.lp,212,76,76,76
elevator-strips-simple-typed/instance-43.lp,137,58,58,58
elevator-strips-simple-typed/instance-44.lp,192,27,27,27
elevator-strips-simple-typed/instance-45.lp,309,16,16,16
elevator-strips-simple-typed/instance-46.lp,189,63,63,63
elevator-strips-simple-typed/instance-47.lp,422,10,10,10
elevator-strips-simple-typed/instance-48.lp,166,58,58,58
elevator-strips-simple-typed/instance-49.lp,123,67,67,67
elevator-strips-simple-typed/instance-50.lp,214,49,49,49
elevator-strips-simple-typed/instance-51.lp,152,12,12,12
