scalings,0,500,1000,1500
gripper-round-1-strips/instance-4.lp,0.528,0.473,0.799,0.937
gripper-round-1-strips/instance-5.lp,0.573,2.277,4.27,6.47
gripper-round-1-strips/instance-6.lp,17.247,39.392,19.34,28.113
gripper-round-1-strips/instance-7.lp,900,687.313,900,583.549
gripper-round-1-strips/instance-8.lp,900,900,900,900
gripper-round-1-strips/instance-9.lp,900,900,900,740.018
logistics-round-1-strips/instance-1.lp,0.522,0.522,0.534,0.542
logistics-round-1-strips/instance-10.lp,60.997,60.554,61.061,60.865
logistics-round-1-strips/instance-11.lp,2.987,3.126,3.347,3.401
logistics-round-1-strips/instance-12.lp,900,900,900,900
logistics-round-1-strips/instance-13.lp,900,900,900,900
logistics-round-1-strips/instance-14.lp,56.383,58.069,57.225,57.292
logistics-round-1-strips/instance-15.lp,4.202,4.265,4.349,4.252
logistics-round-1-strips/instance-16.lp,50.131,51.141,51.207,51.082
logistics-round-1-strips/instance-17.lp,10.968,11.182,11.089,11.155
logistics-round-1-strips/instance-19.lp,900,900,900,900
logistics-round-1-strips/instance-2.lp,2.66,2.752,2.706,2.728
logistics-round-1-strips/instance-21.lp,900,900,900,900
logistics-round-1-strips/instance-23.lp,16.161,16.724,16.847,17.556
logistics-round-1-strips/instance-24.lp,900,900,900,900
logistics-round-1-strips/instance-3.lp,9.592,9.853,9.453,9.525
logistics-round-1-strips/instance-4.lp,16.998,17.188,17.172,17.124
logistics-round-1-strips/instance-6.lp,22.771,23.308,23.534,23.201
logistics-round-1-strips/instance-7.lp,6.126,6.155,6.167,6.169
logistics-round-1-strips/instance-8.lp,28.039,27.997,28.073,28.03
logistics-round-1-strips/instance-9.lp,37.261,38.036,37.866,38.893
mystery-round-1-strips/instance-10.lp,900,900,900,900
mystery-round-1-strips/instance-13.lp,900,900,900,900
mystery-round-1-strips/instance-15.lp,900,900,900,900
mystery-round-1-strips/instance-17.lp,900,900,900,900
mystery-round-1-strips/instance-19.lp,161.734,175.42,160.487,159.913
mystery-round-1-strips/instance-2.lp,65.835,75.269,59.699,75.694
mystery-round-1-strips/instance-20.lp,176.009,176.943,191.972,430.366
mystery-round-1-strips/instance-26.lp,16.135,18.687,14.615,15.682
mystery-round-1-strips/instance-27.lp,7.868,8.244,8.38,8.313
mystery-round-1-strips/instance-29.lp,11.822,12.175,12.006,12.025
mystery-round-1-strips/instance-3.lp,14.008,14.04,14.216,15.142
mystery-round-1-strips/instance-30.lp,69.817,77.872,89.075,66.08
mystery-round-1-strips/instance-6.lp,900,900,900,900
mystery-round-1-strips/instance-9.lp,37.785,28.906,26.112,35.634
learning-hor-hor-size-05
blocks-strips-typed/instance-22.lp,0.527,0.564,0.471,0.469
blocks-strips-typed/instance-24.lp,0.464,0.466,0.473,0.469
blocks-strips-typed/instance-25.lp,0.609,0.606,0.599,0.618
blocks-strips-typed/instance-26.lp,0.605,0.618,0.68,0.598
blocks-strips-typed/instance-27.lp,0.783,0.804,0.796,0.873
blocks-strips-typed/instance-28.lp,0.782,0.799,0.821,0.792
blocks-strips-typed/instance-29.lp,1.048,1.041,1.019,1.028
blocks-strips-typed/instance-30.lp,1.126,1.037,1.017,1.087
blocks-strips-typed/instance-31.lp,1.237,1.275,1.361,1.253
blocks-strips-typed/instance-32.lp,1.246,1.262,1.254,1.274
blocks-strips-typed/instance-33.lp,1.586,1.59,1.714,1.583
blocks-strips-typed/instance-34.lp,1.592,1.569,1.584,1.581
blocks-strips-typed/instance-35.lp,2.038,2.076,1.984,1.997
blocks-strips-typed/instance-36.lp,2.05,2.077,2.055,2.01
blocks-strips-typed/instance-37.lp,2.479,2.495,2.471,2.475
blocks-strips-typed/instance-38.lp,2.546,2.494,2.436,2.443
blocks-strips-typed/instance-39.lp,3.047,3.013,2.947,3.211
blocks-strips-typed/instance-40.lp,2.995,2.946,3.061,3.059
blocks-strips-typed/instance-41.lp,3.747,3.758,3.759,3.871
blocks-strips-typed/instance-42.lp,3.831,3.737,3.74,3.822
depots-strips-automatic/instance-10.lp,3.437,3.187,3.203,3.208
depots-strips-automatic/instance-11.lp,12.481,12.342,12.351,12.214
depots-strips-automatic/instance-12.lp,40.372,39.187,39.029,39.006
depots-strips-automatic/instance-13.lp,4.568,4.436,4.478,4.507
depots-strips-automatic/instance-14.lp,15.646,15.617,15.603,15.737
depots-strips-automatic/instance-15.lp,49.128,48.651,49.015,49.378
depots-strips-automatic/instance-16.lp,9.753,8.51,8.404,8.524
depots-strips-automatic/instance-17.lp,28.582,28.577,28.663,28.631
depots-strips-automatic/instance-18.lp,86.791,86.967,88.027,87.354
depots-strips-automatic/instance-19.lp,17.605,17.423,17.52,17.411
depots-strips-automatic/instance-20.lp,91.839,91.851,91.715,91.504
depots-strips-automatic/instance-3.lp,0.84,0.746,0.766,0.75
depots-strips-automatic/instance-4.lp,1.608,1.6,1.683,1.593
depots-strips-automatic/instance-5.lp,3.114,3.107,3.52,3.418
depots-strips-automatic/instance-6.lp,11.274,10.988,10.942,11.109
depots-strips-automatic/instance-7.lp,1.037,1.037,1.042,1.131
depots-strips-automatic/instance-8.lp,4.09,3.986,3.959,3.953
depots-strips-automatic/instance-9.lp,13.178,13.361,13.125,13.37
driverlog-strips-automatic/instance-11.lp,0.957,0.929,1.027,0.984
driverlog-strips-automatic/instance-12.lp,2.489,2.446,2.473,2.538
driverlog-strips-automatic/instance-13.lp,3.498,3.487,3.501,3.514
driverlog-strips-automatic/instance-14.lp,3.604,3.563,3.576,3.547
driverlog-strips-automatic/instance-15.lp,14.721,14.405,14.256,14.364
driverlog-strips-automatic/instance-17.lp,59.116,59.338,59.697,60.234
driverlog-strips-automatic/instance-18.lp,116.544,116.801,116.52,116.979
driverlog-strips-automatic/instance-7.lp,0.219,0.186,0.182,0.173
driverlog-strips-automatic/instance-9.lp,0.364,0.352,0.374,0.355
elevator-strips-simple-typed/instance-38.lp,0.665,0.674,0.681,0.737
elevator-strips-simple-typed/instance-40.lp,0.672,0.671,0.671,0.673
elevator-strips-simple-typed/instance-42.lp,1.098,1.157,1.145,1.12
elevator-strips-simple-typed/instance-43.lp,1.153,1.101,1.153,1.206
elevator-strips-simple-typed/instance-44.lp,1.074,1.078,1.209,1.084
elevator-strips-simple-typed/instance-45.lp,1.072,1.086,1.092,1.083
elevator-strips-simple-typed/instance-46.lp,1.603,1.617,1.635,1.612
elevator-strips-simple-typed/instance-47.lp,1.608,1.639,1.63,1.638
elevator-strips-simple-typed/instance-48.lp,1.606,1.637,1.647,1.643
elevator-strips-simple-typed/instance-49.lp,1.631,1.647,1.753,1.61
elevator-strips-simple-typed/instance-50.lp,1.635,1.645,1.615,1.62
elevator-strips-simple-typed/instance-51.lp,2.463,2.441,2.484,2.46
elevator-strips-simple-typed/instance-52.lp,2.514,2.483,2.469,2.457
elevator-strips-simple-typed/instance-53.lp,2.56,2.479,2.505,2.498
elevator-strips-simple-typed/instance-54.lp,2.557,2.623,2.52,2.504
elevator-strips-simple-typed/instance-55.lp,2.469,2.457,2.501,2.492
elevator-strips-simple-typed/instance-56.lp,3.501,3.454,3.515,3.595
elevator-strips-simple-typed/instance-57.lp,3.654,3.489,3.557,3.544
elevator-strips-simple-typed/instance-58.lp,3.538,3.511,3.468,3.682
elevator-strips-simple-typed/instance-59.lp,3.517,3.526,3.531,3.45
freecell-strips-typed/instance-1.lp,900,900,900,900
freecell-strips-typed/instance-10.lp,900,900,900,900
freecell-strips-typed/instance-11.lp,900,900,900,900
freecell-strips-typed/instance-12.lp,900,900,900,900
freecell-strips-typed/instance-13.lp,900,900,900,900
freecell-strips-typed/instance-14.lp,900,900,900,900
freecell-strips-typed/instance-15.lp,900,900,900,900
freecell-strips-typed/instance-19.lp,900,900,900,900
freecell-strips-typed/instance-2.lp,900,900,900,900
freecell-strips-typed/instance-3.lp,900,900,900,900
freecell-strips-typed/instance-4.lp,900,900,900,900
freecell-strips-typed/instance-5.lp,900,900,900,900
freecell-strips-typed/instance-6.lp,900,900,900,900
freecell-strips-typed/instance-7.lp,900,900,900,900
freecell-strips-typed/instance-8.lp,900,900,900,900
