scalings,0,500,1000,1500
logistics-round-1-strips/instance-15.lp,123,287,287,287
logistics-round-1-strips/instance-16.lp,114,149,149,149
logistics-round-1-strips/instance-17.lp,133,138,138,138
logistics-round-1-strips/instance-19.lp,0,0,0,0
logistics-round-1-strips/instance-2.lp,32,26,26,26
logistics-round-1-strips/instance-21.lp,0,0,0,0
logistics-round-1-strips/instance-23.lp,122,160,160,160
logistics-round-1-strips/instance-24.lp,0,0,0,0
logistics-round-1-strips/instance-3.lp,53,35,35,35
logistics-round-1-strips/instance-4.lp,49,34,34,34
logistics-round-1-strips/instance-6.lp,209,158,158,158
logistics-round-1-strips/instance-7.lp,21,20,20,20
logistics-round-1-strips/instance-8.lp,214,132,132,132
logistics-round-1-strips/instance-9.lp,94,69,69,69
mystery-round-1-strips/instance-10.lp,0,0,0,0
mystery-round-1-strips/instance-13.lp,0,0,0,0
mystery-round-1-strips/instance-15.lp,0,0,0,0
mystery-round-1-strips/instance-17.lp,0,0,0,0
mystery-round-1-strips/instance-19.lp,7604,17198,3418,2406
mystery-round-1-strips/instance-2.lp,13999,26675,649,28048
mystery-round-1-strips/instance-20.lp,27408,26286,42324,280813
mystery-round-1-strips/instance-26.lp,8575,13176,382,1418
mystery-round-1-strips/instance-27.lp,2118,1504,1504,1504
mystery-round-1-strips/instance-29.lp,588,156,156,156
mystery-round-1-strips/instance-3.lp,1407,365,365,365
mystery-round-1-strips/instance-30.lp,13468,25063,45099,430
mystery-round-1-strips/instance-6.lp,0,0,0,0
mystery-round-1-strips/instance-9.lp,29449,8291,223,14548
learning-hor-hor-size-05
blocks-strips-typed/instance-22.lp,1,1,1,1
blocks-strips-typed/instance-24.lp,1,1,1,1
blocks-strips-typed/instance-25.lp,1,1,1,1
blocks-strips-typed/instance-26.lp,1,1,1,1
blocks-strips-typed/instance-27.lp,1,1,1,1
blocks-strips-typed/instance-28.lp,1,1,1,1
blocks-strips-typed/instance-29.lp,1,1,1,1
blocks-strips-typed/instance-30.lp,1,1,1,1
blocks-strips-typed/instance-31.lp,1,1,1,1
blocks-strips-typed/instance-32.lp,1,1,1,1
blocks-strips-typed/instance-33.lp,1,1,1,1
blocks-strips-typed/instance-34.lp,1,1,1,1
blocks-strips-typed/instance-35.lp,1,1,1,1
blocks-strips-typed/instance-36.lp,1,1,1,1
blocks-strips-typed/instance-37.lp,1,1,1,1
blocks-strips-typed/instance-38.lp,1,1,1,1
blocks-strips-typed/instance-39.lp,1,1,1,1
blocks-strips-typed/instance-40.lp,1,1,1,1
blocks-strips-typed/instance-41.lp,1,1,1,1
blocks-strips-typed/instance-42.lp,1,1,1,1
depots-strips-automatic/instance-10.lp,1,1,1,1
depots-strips-automatic/instance-11.lp,1,1,1,1
depots-strips-automatic/instance-12.lp,1,1,1,1
depots-strips-automatic/instance-13.lp,1,1,1,1
depots-strips-automatic/instance-14.lp,1,1,1,1
depots-strips-automatic/instance-15.lp,1,1,1,1
depots-strips-automatic/instance-16.lp,1,1,1,1
depots-strips-automatic/instance-17.lp,1,1,1,1
depots-strips-automatic/instance-18.lp,1,1,1,1
depots-strips-automatic/instance-19.lp,1,1,1,1
depots-strips-automatic/instance-20.lp,1,1,1,1
depots-strips-automatic/instance-3.lp,1,1,1,1
depots-strips-automatic/instance-4.lp,1,1,1,1
depots-strips-automatic/instance-5.lp,1,1,1,1
depots-strips-automatic/instance-6.lp,1,1,1,1
depots-strips-automatic/instance-7.lp,1,1,1,1
depots-strips-automatic/instance-8.lp,1,1,1,1
depots-strips-automatic/instance-9.lp,1,1,1,1
driverlog-strips-automatic/instance-11.lp,1,1,1,1
driverlog-strips-automatic/instance-12.lp,1,1,1,1
driverlog-strips-automatic/instance-13.lp,1,1,1,1
driverlog-strips-automatic/instance-14.lp,1,1,1,1
